stage,blastomeres,epidermis,eye,fin_epithelia,glial,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  5-6,17.61,0,0,0,0,8.03,0,0,0,0
  7-9,0,0,0,0,0,3.57,0,3.32,0,0
 10-12,0,0,4.57,0,0,30.71,0,11.75,0,0
 14-21,0,2.02,0,0,0,3.61,0,0,0,0.81
 24-34,0,0,0,0,0.67,1.2,0,0,0.63,0
 36-46,0,0,0.85,0,0,5.55,0.87,0,0,0
 48-58,0,0,1.01,0,0,2.87,0,0,2.89,0
 60-70,0,0,0.97,0,0,1.16,0,0,0,0
 72-82,0,0,0,0,0,1.2,0,0,0,0
 84-94,0,0.78,0,0,0,3.91,2.46,0,0,0
 96-106,0,0,0,0,1.23,1.87,0,0,0,0
108-118,0,0,0,0.46,2.88,2.83,0,0,0.46,0
120,0,0,0,0,12.68,12.55,0,0,0,0
