stage,blastomeres,eye,glial,gut,ionocyte,liver,mesenchyme,neural,paraxial_mesoderm,pronephros,spinal_cord,vasculature
  5-6,14.53,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,27.64,3.49,0,0,0
 10-12,0,0,0,0,0,0,0,22.79,0,0,0,0
 14-21,0,0,5.26,0,1.16,0,0,11.45,0,0,0,0
 24-34,0,0,0.73,0,0,0,0,0.6,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.83,0,0,0.7,0
 48-58,0,0.56,0,0,0,0,0,12.76,0,0,3.29,0
 60-70,0,0,3.87,0,0,0,0,13.26,0,0,0,0
 72-82,0,4.94,0,0,0,0,0,11.29,0,0,0,0.97
 84-94,0,2.4,0.95,0,0,0,0.7,16.7,0,0.56,0,0
 96-106,0,5.57,4.76,0,0,0,0,13.73,0,0,0,0
108-118,0,1.09,0,1.31,0,0.78,0.47,4.34,0,0,0,0
120,0,0,0,0,0,0,0,28.42,0,0,0,0
