stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,41.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,5.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.95,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.78,0,6.93,0,0.83,0,0,0,0,39.81,0,0,0,0,0
 24-34,0,0.96,0,1.32,0,4,0,0,0,0,0,0,0,0,0,0,0.87,0,0,1.77,298.34,0,27.1,0,0,0,0,0,0,112.77,0,0,0,0,0.77
 36-46,0,0,0,0,0,15.59,0,0,0,0,0,0,0,0,0,0,0.75,0,1.13,0.58,502.31,0,25.38,0,0,0,1.3,0,0,155.46,0,0,0,0,0
 48-58,0,0,0,1.29,0,102.4,0,0,14.54,0,0,0,0,0,0,1.87,2.83,0.39,0,0,680.38,4.1,9.47,1.29,0,0,0,0,0,180.33,0,0,0,0,4.6
 60-70,0,0.7,0,0,0.81,347.87,0.59,0,2.79,0,0,7.21,0,0,1.9,0,10.89,0,0,0,793.37,0,26.32,0,0,0,10.76,0,0,127.51,0,0,0,0,0
 72-82,0,0.9,0,13.22,0.67,540.56,6.51,0,15.58,0.85,0.89,5.46,0.83,0,1.66,0,21.52,0,0,0,838.41,0,30.97,0.84,0,0,0,0,0,93.86,0,0,2.7,0,0
 84-94,0,2.46,0,0.86,10.35,320.93,4.48,0.94,24.81,0,0,2.65,3.76,0.74,0.66,0,4.26,0,0,1.01,648.55,0,18.62,0.59,0,0,4.76,1.5,0,101.96,0,0.64,0.91,0.62,0
 96-106,0,1.82,0,11.4,3.35,350.15,0,0.75,5.58,0,0,1.57,0,0.75,0,0,10.34,0,2.91,0,496.77,0,27.6,0,0,1.92,3.85,0,0.66,55.28,0,0,0,0,0.75
108-118,0,0,0,1.71,1.37,309.71,0.51,0,8.38,0.73,0,0,0,0.42,2.01,0,4.23,0,0,0.75,713.1,0,19.06,0,0,0,0.6,0,0,27.51,0.68,0,2.32,0,0
120,0,0,0,1.46,0,209.19,0,0,25.59,2.51,0,0,0,0,0,0,13.58,0,0,1.54,596.31,0,26.78,15.85,0,0,0,0,0,25.35,0,0,0,0,0
