stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,hatching_gland,ionocyte,iridophores,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.36,0,0,0,0,0,0,0,0,0,0,5.84,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.5,0,0,0,0,8.47,5.13,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,14.94,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08,0.81,0,1.32,0
 36-46,0,0,0,0,0,0,0,1.57,0,2.78,0,3.45,0.57,0,6.15,0,0,0,0
 48-58,0,0,0.68,1.05,1.07,0,0,0,0,0.47,0,6.63,0,0,13.38,0,0,0,0
 60-70,0,3.27,0.63,0,0,0,0,0,0,0,0,6.28,0,0,12.85,0,0,0,0
 72-82,0,0,0,0,0,7.29,0,0,0,0.98,0,6.19,0,0,17.65,0,0,0,6.37
 84-94,0,6.08,3.22,0,0,0,0,0.58,0,1.7,0,9.5,0,0,34.59,0,0,0,0
 96-106,0,0.8,0.64,0,0,0.99,0,0.61,2.73,0,0,0.92,0,0,58.84,0,0,0,0
108-118,0,1.68,0,0,0,0,0,0.74,0,0.6,0.46,4.16,0,0,36.66,0,0,0,0
120,0,9.86,0,0,1.05,0,0,0,0,0,0,10.76,0,0,16.06,0,2.39,0,0
