stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,49.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.49,94.24,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6.23,0,0,0,0,21.66,0,0,23.02,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,44.98,0,0,15.05,0,0,0,0,0,0
 14-21,0,0,0,2.97,0,0,0,0,0,0,2.49,0,2.4,14.94,0.97,0,0,0,4.51,2.72,11.11,0,0
 24-34,0,0,0,0.61,4.35,0,3.16,0.68,0,0,1.88,0,1.62,56.05,0,0,0,0.73,0,0,7.99,1.24,0
 36-46,0,0,0,0,4.71,0,1.36,0,0,0,3.2,0,0,25.47,0,0,0,0.58,0,0,10.17,0.6,0
 48-58,0,0,0,3.22,22.49,0,3.68,0,0,0,11.98,8.76,1.52,16.56,0.45,0,0,0,0,0,4.61,0,0
 60-70,0,0,0,0,13.26,0,2.31,0,0,0,6.77,0,0,18.92,0,1.17,0,0,0,0,4.94,0,0.98
 72-82,0,0,0,0.65,7.26,0,4.69,0,0,1.47,8.95,0,2.73,22.87,0,0,0,0.58,0,0,3.26,2.65,0
 84-94,0,0,0,0,1.7,0,0,0,0,0,6.78,0,1.37,11.03,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,8.67,1.07,1.51,0,0,0,0.87,0,0,4.43,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.5,6.99,0,1.55,0,0,0,5.24,0,0,4.99,0,0,0,0,0,0,3.91,0,0
120,0,0,0,0,2.83,0,0,5.64,0,0,19.05,0,0,15.73,3.53,0,0,5.23,0,0,0,0,0
