stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,3.04,0,0,3.04,4.15,400.91,1.42,0,0,0,0,0,3.98,0,0,0.87,0,0
 36-46,0,0,0,10.98,1.1,0,0,0,0,0,0.91,0,0,0,1.77,0,0.62,7.76,0,0,9.96,27.06,1275.67,0,0,0,0.68,0,0,4.69,0,0,0,0,0
 48-58,0.58,0,0,0,0,0,11.54,0,0,0.38,1.73,0,0,0,0,0,0,28.4,0.39,1.67,0.89,50.27,1412.35,0,0,0,0,1.57,0.48,12.9,0,0,14.72,0,5.03
 60-70,1.28,0,0,0.71,0,0,11.57,0,0,0,0.81,0,0,0,0,0,0,37.8,0.85,0,0.77,21.06,760.87,0,0,0,0,0,0,4.14,0,1.03,1.81,0,0
 72-82,0,0,0,0.49,0,0,5.3,0.65,0,0,4.08,0,1.6,0,1.39,0,0,170.91,0,1.43,4.17,19.05,558.49,0,0,0,0,0,0,5.23,0,1.61,17.4,1.91,0
 84-94,1.85,0,1.04,0,0,0.58,21.37,0,8.08,0,1.29,0,0,0.82,0,0,0,148.95,0,6.59,4.56,8.48,912.03,0,0,0,2.08,0,0,0.85,0,1.38,12.3,0,1.67
 96-106,0,0,0.89,1.31,0,0,18.34,1.15,0,0,3.04,0,0,0.92,0,0,5.65,255.39,2.18,6.83,6.89,29.45,651.74,0,0,0,4.61,0,0,6.23,1.64,4.99,16.64,3.45,0
108-118,3.36,0,0.85,1.74,1.45,0.78,5.94,0,0,0,7.72,0.88,0,0,0,0.85,2.89,276.88,0,3.54,0.63,46.17,625.15,0,0,1.65,1.58,0.44,0,3.77,0,7.99,21.59,1.66,0
120,10.44,0,0,4.99,0,1.71,0,0,1.8,0,1.7,3.66,0,0,0,0,0,412.35,0,4.59,0,3.64,808.47,0,2.44,0,3.02,0,0,0,0,18.86,26.94,19.55,0
