stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,19.97,0,0,0,0,0,0,0,0,0,0,0,16.73,12.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.38,0,0,0,0,0,0,0,0,0,0,0,33.42,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,182.98,0,0,133.99,0,0,1.89,0,0,0,2.15,0,0,0,0,1.85,0,0,0,6.45,0,36.09,0,90.12,0.81,2.62,0,0,0,0,0
 24-34,0,0,82.48,0,0.82,368.95,0,0,1.31,0,0,0.6,4.37,0,0.74,0,0,1.49,0,0,2.58,21.38,1.5,1.3,0,54.26,0.65,6.45,0,0,0.73,0,0
 36-46,0,0.96,41.4,0,1.19,127.03,0,0,1.43,0,0.73,0,0.65,0,0,0,3.91,3.34,1.45,0,2.92,12.19,0,2.56,0,14.23,0,26.97,0,0,0,0,0
 48-58,0,0,20.59,0,1.09,81.18,4.86,2.03,0,0,0,0,0.52,0,0,0,0,17.68,1.62,0,0.93,7.16,0,0,0,1.38,0,20.5,0,0,0.51,0,0
 60-70,0.57,0,12.43,0,0,22.06,6.33,2.37,0,0,0,0,0,0,0,0.87,0,24.26,0,0,9.03,14.6,0,0,0,0,0,23.18,1.23,1.74,0,0,0
 72-82,1.72,0,1.84,0,2.08,1.19,10.34,1.24,6.34,0,0,0,0.74,2.96,2.47,0,0,96.58,0,1.6,15.14,4.76,0,0.74,9.26,0,0,4.85,0,2.22,0.71,0,0
 84-94,2.63,0,12.92,0,5.93,3.03,5.59,0.96,16.63,0,0.79,0.75,13.63,0,0,0,0,113.91,1.5,0,11.97,6.85,0,1.16,8.87,0,0.74,7.47,0,2.26,4.65,0,0
 96-106,5.29,0,5.55,0,8.75,6.5,0,0,2.54,0,0.72,0,4.53,0,0.61,0,0,120.62,0,7.56,5.9,26.75,0,0,0.79,0,0,4.39,0,0,4.45,0.58,5.1
108-118,2.52,0,12.05,0,6.24,8.21,1.6,7.9,2.52,0,0,0,6.62,0,1.19,0,0,179.33,0,1.6,2.44,17.59,0,0,3.15,0,0,4.31,1.26,2.01,12.87,0,0
120,9.28,0,1.44,1.9,0,0,5.27,0,9.35,0,0,0,7.12,0,0,0,0,109.3,4.69,0,6.84,27.14,0,2.24,0,0,0,14.56,0,6.25,6.28,0,0
