stage,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0.91,0,0,0,0,0,0,0,0,1.07,0,0,6.77,0,0,0.9,0,0,0.83,3.55,0,0,0
 24-34,0.76,0,0,3.88,0,0,0,0,0,0,0,0,0,39.33,0,0,0,0,0,0,1.27,0,0,1.45
 36-46,0,0,0,4.99,0,0.57,0,0,0,0,2.69,0,0,60.73,0.61,0,0,0,0,0,6.57,0,0,0
 48-58,0,0,0,19.49,0.85,0,0,0,0,0,1.29,0,0,18.16,0,0.5,0,0,0,0,0,0.64,0,0
 60-70,0,1.63,0,30.2,0.92,0,0,1.79,0.81,1.7,4.15,0,0,21.32,0,0,0,0,0,0,5.42,0,0,0
 72-82,0,0,0,22.92,0,0,0,0,0,0,2.68,2.18,0.57,14.31,0,0,0,0,0.53,0,9.33,0,0,0
 84-94,0,0,2.55,9.9,0,0,2.78,0,4.06,0,8.04,0,0,14.5,0,0,0,0,3.15,0,0,0,2.08,0
 96-106,0,0,0,0.57,0,0,0.62,0,0.79,0,2.16,0,0,12.82,0,0,0,0,5.36,0,0,0,3.14,0
108-118,0,2.91,0,13.98,1.16,0,0.78,0,0,0,3.15,0,0,11.76,0,0,0,0,2.63,0,0,0,0.53,1.16
120,0,3.18,7.04,1.35,0,0,2.88,0,0,0,0,0,0,27.81,0,0,0,5.29,0,0,0,0,0,0
