stage,erythrocytes,neural,vasculature
 14-21,0.87,0,0
 24-34,0,1.22,5.26
 36-46,0,14.18,1.79
 48-58,0,2.81,6.07
 60-70,0,0.75,2.86
 72-82,0,0,0.73
 84-94,0,0,8.66
 96-106,0,0,4.09
108-118,0,0,2.62
