stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,olfactory,otic,spinal_cord
 14-21,0,0,0,0,0,0,0,0,3.95,0,0,0
 24-34,0,0,0,0,0,0,0,0,17.46,0,0,5.3
 36-46,0,0.91,0,0.57,0,0,0,0,99.25,0.91,0,12.26
 48-58,0,6.63,1.03,0,0.73,0,0,0,126.65,1.22,0,26.01
 60-70,0,56.96,0,0,1.29,0,0,0,172.73,0,0,22.08
 72-82,0,69.14,0,0,2.15,0,2.35,0,77.29,0,0,9.1
 84-94,1.67,36.18,0,0,1.61,0,0,0,83.96,0,1.1,13.36
 96-106,0,23.53,0,0,0,1.16,0.68,0.91,48.54,0,0,10.41
108-118,0,25.81,0,0,0,0,0,0,54.02,0,0,0
120,0,10.61,0,0,0,0,0,0,58.5,0,0,0
