stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.73,2.17,19.2,7.89,0,19.58,0,0,0,7.17,1.85,0,0.97,0,0.81,0,0,0,0,7.76,0,0,11.67,218.21,1.85,0.95,0.94,1.97,0,8.87,0,12.49,0,3.82,26.46,55.91,0,0,0,0,0
 24-34,0.67,1.9,15.61,1.38,0,47.64,0,0,1.34,2.66,2.96,0,1.22,0,0,0,1.72,0,0,32.91,2.73,0,8.05,646.03,6.32,0.78,3.69,0,0,14.9,0,0,1.16,0.63,1.57,127.07,0,0,7.91,0,0
 36-46,0,0,9.85,1.11,0,143.16,0,0,1.85,28.62,0,0,0.72,0,1.03,0,1.32,0,0,34.85,2.12,1.23,7.35,633.07,4.2,2.8,3.29,0,0,35.14,0,0,0,0,0,174.76,0,0,9.52,0,2.08
 48-58,0,0,14.15,5.3,0,327.25,0,1.69,0.44,43.34,0.91,2.4,0,0.38,0.5,0,1.32,3.77,0,34.48,2.72,0.99,8.07,649.59,7.55,5.79,1.56,0,0,24.74,0,0,6.88,0.46,0,127.25,0,0,11.06,0,0
 60-70,0,0,5.21,0,0,346.72,0,4.85,13.6,29.55,0.72,0,0,0,1.21,6.19,0,0.95,0,42.23,4.79,0,8.45,523.94,2.09,4.94,4.83,0,0,25.79,0,0,0,0,0,138.8,0,0,2.78,0,8.44
 72-82,0.5,0,14.83,19.72,2.56,377.24,0.52,2.97,2.18,28.53,5.96,0,0,2.97,1.94,0,1.39,3.49,0,100.36,11.22,0,6.63,556.56,4.1,7.54,5.87,0,4.07,27.1,3.31,0,0.61,0,0,70.75,4.19,1.25,13.23,2.52,0
 84-94,2.78,0,23.13,6.25,0,215.16,0,0.62,5.88,25.17,11.54,4.06,1.22,6.71,5.09,3.32,0.65,0,1.36,44.52,8.34,7,7.68,361.89,2.68,3.83,14.33,0,2.02,53.59,0,0,0,9.21,0,51.89,1.35,3.28,10.12,1.09,0.69
 96-106,5.89,0,33.54,19.71,0,162.29,1.64,1.4,2.85,36.63,25.25,1.32,0.66,1.52,9.06,3.4,1.25,0,0,66.91,9.27,1.17,11.81,266.43,0.62,16.91,12.78,1.2,0,111.71,0,0,0.67,0,0,22.06,4.04,0,11.42,3.78,0
108-118,0,0,48.54,6.1,0.6,179.84,0,2.71,0,29.87,2.3,0,2.82,7.42,3.7,7.62,3.18,1.91,1.56,69.82,1.68,0,2.23,295.3,1.28,9.6,14.04,0,2.11,73.1,0,0,0.61,0.41,0,11.77,7.03,1.46,7.33,0,1.42
120,0,0,25.09,0,3.02,108.43,0,12.18,0,42.36,4.89,0,1.54,0,8.29,0,1.34,0,0,71.94,0,2.76,14.36,485.6,0,6.35,11.98,0,0,16.95,0,0,0,0,0,13.33,1.63,0,20.72,0,0
