stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.5,146.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.61,148.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.04,0,0,43.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0,0,0,17.57,0,0,134.31,0,4.43,0,0,0,0,0,0
 14-21,0,0,0.84,9.7,3.55,0.98,0,0,0,22.79,0,0,0,2.15,0,0,9.73,0,0,0,0,63.96,0,17.07,0,1.03,0,0
 24-34,0,0,0,2.85,0,1.67,0,0,0,4.53,0,0,0,0,0,6,5.46,0,0,0,0,0,0,2.94,3.66,0,0,0
 36-46,0,0,0,0,0,4.75,0,0,0,15.87,0,0,0,0.67,0,1.23,2.41,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.21,0,0,0,1.65,0,4.25,0,0,0,0.4,0,0,1.63,0,0,0,0,0,0.38,0,0,0,0,0.54
 60-70,0,0,0,0.77,0,2.81,5.04,1.03,0,1.65,0,0,0,1.78,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.62,0,1.41,1.03,1.88,0,0,0,1.38,0,1.76,0,0.5,0,0,0,0,0,0,0,0,0,0.5
 84-94,0,0,0,0,0,5.27,0.66,6.89,1.07,2.82,0,0,0,1.24,0.76,0.67,1.8,0,0,0,0,0,0.56,0,0,0,0,0
 96-106,0,0,0,2.14,0,15.7,1.94,3.59,7.42,6.64,0,0,0,11.47,0,0,3.36,0,0,0,0,0,0,0,0,0,2.49,0
108-118,0,0,0,27.9,0,46.68,2.38,12.37,6.95,5.11,0.69,0,0.95,22.5,0,0.93,5.01,0,0,0,2.12,0,0,0,1.81,0,0,5.99
120,0,0,0,6.02,0,22.22,19.53,9.33,0,3.54,2.39,1.42,0,38.83,0,4.71,18.73,0,4.64,0,0,0,0,0,0,0,0,0
