stage,epidermis,eye,fast_muscle,glial,heart,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.83,0,0,0,0,0
 14-21,0,0,0,0,1.5,1.95,0,0,2.1,0,0,0,0.92,0
 24-34,1.38,2.36,0,0,0,6.31,0,4.6,2.6,0,1.65,0,6.1,0
 36-46,11.52,0,0,0,2.46,4.64,0,1.19,12.27,0,0,1.72,2.17,0
 48-58,0,0,3.64,0,0,5.88,0.52,6.28,0.55,0,0,0,0.43,5.84
 60-70,0,0,0,0.97,0,0.74,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.66,0,0,0,0,0,1.9,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0
