stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord
  5-6,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.93,0.81,0.81,0,0,0.99,0,6.52,0,0,1.39,1.04,4.71
 24-34,0,0,0,1.6,0,0,0.64,0,6.32,0,0.65,0.6,0,2.4
 36-46,0,0,0,1.56,0,0,0.7,0,16.59,1.86,0,0,0,1.15
 48-58,0,0,0,2.47,0,0,2.49,0,2.04,0,0,0,0,1.53
 60-70,0,0,0,0.87,0,0,0,0,4.46,0,0,0,0,0
 72-82,0,0.51,0,9.09,1.4,0,0.76,0,17.28,0,0,0,0,1.7
 84-94,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.57,0,0,6.57,0,0,1.87,0,0
108-118,0,0,0,0,0,0,1.38,0,3.46,0,0,0,0,0
