stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,64.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.24,0,0,0,0,0,0,0,0
  5-6,0,38.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.39,0,0,0,0,0,0,0,0
  7-9,4.39,0,0,0,0,0,3.55,0,0,0,0,5.49,0,0,0,0,0,0,0,0,24.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0,70.88,0,0,0,7.52,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,7.15,0,0,2.74,0,0,0,0,0,0,0,0,0,0,33.6,0.85,2.2,0,1.19,0,0,1.01,0,0,19.88,0,0,0,0
 24-34,0,0,0,0.62,0,0,20.48,0,0,2.9,0,0,0,0,0,0,0,6.07,0,0.86,114.03,2.43,3.86,0,0,0,0,0,0,0,25.8,0,0.71,0,0
 36-46,0,0,0,1.83,0,0,59.53,0,0,0.7,0,0,0,0,0,0,0,1.26,0,1.16,86.95,2.14,0,1.43,0,0,0.64,0,0.88,0,11.86,0,0,0,0
 48-58,0,0,0,1.1,0,0,195.58,0,0.46,6.03,0,0,0,0,0,0,0,6.77,0,2.09,169.35,0,0,0,0,0,14.51,0,2.74,0,8.08,0,0,0,0
 60-70,0,0,0,3.24,0,0,782.8,0,0,7.68,0,0,0,0,0,0,0,17.35,0,7.38,223.01,0,1.27,0,0,0.71,0,0,0,0,14.42,0,0,0,8.49
 72-82,0,0,0,2.34,4.31,0,1409.71,3.32,0,13.98,0,0,0,0,0,0,0,30.12,4.9,6.07,268.33,0,0.95,0,0,0,0,0,0,3.93,13.57,0.5,3.67,0.96,3.03
 84-94,0,0,0,17.71,0,1.54,1077.45,0,3.82,29.5,0.66,0,0,6.94,1,3.4,0.96,37.52,0,4.53,176.36,0,0,0,0,0,4.59,0,0,0,13.63,0.63,3.4,0.89,0
 96-106,0,0,0,6.37,6.37,0,1180.07,0,1.26,35.77,0.68,0,0.79,0.63,0,0,10.17,29.41,0,5.98,264.08,0,2.02,0,0,0,1.47,0,0.9,0,7.05,6.59,1.94,2.16,0
108-118,0,0,0,7.49,0,0,1487.26,0.5,1.89,67.34,0,0,0,0.47,0,0,0,17.35,2.27,7.43,364.29,0,0.99,0,0,1.37,2.83,0,0,0,10.65,0,8.51,2.84,0
120,0,0,7.01,16.12,1.46,0,1854.54,0,0,123.33,1.45,0,0,0,0,0,0,59.03,13.87,32.3,650.79,0,11.55,0,0,0,0,0,0,0,19.76,0,0,0,0
