stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,63.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.85,51.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0,0,0,0,0,0
  7-9,0,0,10.5,0,0,6.47,0,0,0,0,0,0,0,0,0,0,0,88.58,0,0,17.98,0,7.7,0,0,0,0,0,0
 10-12,0,3.69,0,0,0,24.77,0,0,0,0,0,0,0,0,0,0,0,122.25,3.54,0,22.19,0,0,0,0,0,0,0,0
 14-21,0,0,3.19,1.82,1.06,2.01,0,0,0,0,0,0,0,0,2.54,0,3.65,56.8,0.91,0,0,7.03,0,9.59,2.65,1.65,0,0,0
 24-34,0,0,0,1.39,0,10.71,0,0,0,0,0,0,0,0,7.48,0,4.85,98.47,0,0,0,7.6,0,0,0,15.77,0.6,0,0
 36-46,0,0,0,0,0,18.19,0,1.87,0.74,0,0,1.11,0,0,17.58,0,1.34,49.22,0,0.76,0,3.87,0,0,0,11.93,1.46,0,1.52
 48-58,0,0,0,5.22,0,24.75,0,4.79,0,0.69,0,0,0,2.93,7.5,1.15,0.82,39.68,0,0,0,0,0,0,0,5.13,0.88,0,0
 60-70,0,0,0,0.77,3.32,15.57,0,0,0,0,0,1.15,0,0,4.03,2.18,0.6,2.65,0,0,0,0,0,0,0,0,0.65,0,0
 72-82,0,0,0,0.71,0,5.2,0,1.22,0.71,0,0,0,0,0,5.78,0,0,3.18,1.39,0,0,0,0,0,0,0,0,0.67,0
 84-94,0,0,0,0.58,0,4.48,0,0,0,0,0.69,0,0,0,4.8,0.85,0,6.72,0,0,0,0,0,0,0,0,0.87,0,0
 96-106,0,0,0,0,0,3.15,0,0.86,0,0,0,0,0,0,6.28,0,0,13.17,0,1.2,0,0,0,0,0,0,0.62,0.93,0
108-118,0,0,0,2.2,0,6.26,0.68,3.02,0.47,0,0,0.41,1.46,0,9.84,0,2.46,8.39,0,1.43,0,0.42,0,0,0,0,4.44,0,0
120,0,0,0,5.7,0,0,0,1.91,1.42,0,2.29,0,0,0,10.34,0,1.46,12.1,0,0,0,11.29,0,0,0,0,0,0,0
