stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.2,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,0,5.09,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.9,9.38,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,6.03,1.61,0,2.95,0,0,1.85,0,32.5,3.46,19.98,0,0,5.69,0,0
 24-34,0,0.8,2.74,2.26,3.34,0,0,0,0.63,0,16.74,0,8.05,0,4.28,0,0,0,1.41,0,0,356.58,0,3.5,3.3,0,0,2.64,0,0,0,164.42,0,0,41.29,0,0
 36-46,0,0,6.84,0,17.96,1.17,0,0,1.06,0,2.5,0,29.44,0,1.57,0,0,3.5,0,0,3.9,894.46,0,1.48,0.58,0,0,0,0,0,0,245.08,0,0,5.39,0,0
 48-58,0,0,3.35,0,106.79,0,0,0.44,11.04,0,2.26,0,14.98,0,0.44,0,1.2,19.05,2.63,0,2.45,1511.3,0,0.74,1.63,0,0,0,1.33,0,0,156.6,0,0,0,0,1.65
 60-70,0,0.57,9.9,3.19,473.44,0,6.47,0,53.77,0,2.42,1.9,6.92,0,0,0,0,30.06,0.85,1.6,1.61,3539.51,0,0,7.11,0,0,8.63,0,0,0,157.02,0,0.9,12.57,0,2.87
 72-82,0,1.83,13.27,8.02,904.24,0,0.78,1.56,90.99,1.94,2.16,2.95,6.58,0,1.9,0,0,29.12,0,0,8.98,4345.63,0,0,3.52,0,0.71,0,0,0,0,118.68,0.71,9.25,20.6,0.79,0
 84-94,0,0,22.13,0,733.46,0.68,2.1,0.77,56.97,5.74,3.56,0,14.52,0,3.06,0,2.28,51,1.12,3.96,13.73,2863.19,0.83,1.76,3.02,0,0,4.32,0,0,0,105.97,0,4.67,0.59,0,6.1
 96-106,0,3.21,11.11,0.81,941.69,0.88,1.8,0,72.78,3.87,11.62,0,13.15,2.79,13.41,11.02,0,55.13,0,0,2.66,2644.84,0,1.79,4.63,0,0,8.06,0,0,0,79.37,4.84,6.32,1.82,1.15,8.09
108-118,0,0,11.01,3.31,927.13,0,0,1.46,51.99,6.42,0.99,9.52,6.78,1.01,1.04,4.07,0,33.39,0.48,1.4,0,2947.08,1.38,9.22,5.61,0,0,8.43,0,0,0,69.72,0,2.32,3.81,0,0
120,0,6.17,40,0,835.54,0,0,0,154.26,6.99,13.62,18.19,8.39,2.11,4.16,0,0,58.06,1.72,0,11.17,4754.44,0,8.15,2,0,0,3.08,3.15,0,0,88.66,0,0,0,0,0
