stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,25.25,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,31.11,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,16.04,0,0,0,189.63,0,0,0,6.93,0,0,0,0,0,0,0,0
 14-21,0,7.52,3.45,0.84,0,0.82,0,2.67,1.67,14.11,0,0,0,0,0,0,0,4,0.95,0,22.43,24.94,68.78,0,0,0,0,6.62,70.74,2.38,3206.98,685.81,14.3,0,0,0,0,0
 24-34,0,18.85,0,14.11,798.53,1.56,2.23,3.97,1.55,0,0,0,1.22,0,1.01,0,0,22.84,0.67,0,87.09,324.48,3.58,1.87,6.05,0,0,21.42,6.16,2.41,1301.62,516.16,40.24,0,0,4.39,0,0.71
 36-46,0,1.31,0,22,1085.7,1.64,0,1.78,2.23,0,36.82,2.39,0,0,0,7.26,4.83,10.93,0,0,63.36,184.1,1.34,1.16,0,0,1.69,7.55,0,1.27,510.4,27.81,44.44,0,0,11.27,0,13.57
 48-58,8.18,7.03,0,40.22,600.56,0,3.38,7.93,1.15,0.75,9.06,2.08,0.38,0,0,0,0,17.19,0,0,18.48,160.18,4.46,2.46,0,0,0,4.67,0,0,270.45,0,33.47,0,0,0.41,0,2.65
 60-70,1.02,4.93,0,121.62,284.21,9.46,6.91,11.23,0,0,0,0,0,1.62,0,4.15,0,48.18,0,3.21,24.39,71.88,11.61,0,0,1.62,0,2.8,0,1.79,66.06,0,11.63,0,0,6.35,3.11,0
 72-82,0,0,0.59,39.73,234,3.39,2.21,9.93,0,0,0.79,0,0,0.53,1,0,0,40.51,0,2.2,34.88,79.54,1.8,0,1.58,0,0,3.9,0,0,44.56,0,3.29,0,6.06,1.97,4.59,0
 84-94,1.04,2.74,7.12,40.14,409,6.26,0,16.51,1.56,0,0,6.82,1.2,7.24,0,0,0,46.29,0,5.35,40.34,52.26,1.87,0,0.59,0,3.94,7.04,0,0,83.95,0,13.42,0,3.96,3.53,11.91,4.52
 96-106,0,20.84,9.5,135.1,1140.94,0.59,2.33,24.45,7.08,0,1.2,2.37,1.34,0.95,3.28,3.49,0,124.64,1.94,0.58,100.64,154.02,4.46,4.99,3.61,1.2,11.75,21.46,0,0.75,129.05,0,2.77,1.13,6.53,9.27,41.9,10.68
108-118,1.17,7.28,11.39,83.41,774.06,0.52,8.53,10.62,4.7,0,0,0.53,1.03,0,0.92,6.73,0,49.75,0,9.18,91.18,101.67,11.71,0,0,0,15.27,17.18,0,0,81.97,0,7.7,4.36,3.35,6.05,12.65,0
120,0,3.07,0,38.45,369.78,0,2.28,7.14,1.71,0,0,0,0,0,0,0,0,16.34,0,23.69,85.58,91.69,34.59,0,0,0,45.42,3.72,0,0,17.02,0,0,0,7.24,0,14.56,0
