stage,blastomeres,epidermis,eye,glial,mesenchyme,mural_cell,neural,notochord,olfactory,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.17,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.98,10.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.71,0,0,0,0,0,0
 14-21,0,0,0,1.06,0,0,0,0,0,0.94,0,0,0
 24-34,0,0,0,0.67,0.86,0,0.69,0,0,0,1.84,0,0
 36-46,0,0,7.38,0,0,0,0,0,0,0,6.62,0,0
 48-58,0,0,0,0,0.6,0,0.53,0,3.99,0,0,0,0
 60-70,0,0,0,0,0,0,2.83,0,0,0,3.81,0,0
 72-82,0,0,0,2.07,1.41,0.81,2,0,0,0,0,0,0
 96-106,0,1.2,0,0,0,0,1.08,0,0,0,0,7.31,0.8
