stage,blastomeres,endocrine_pancreas,eye,glial,mesenchyme,mucous,mural_cell,neural,olfactory,pericytes,spinal_cord,xanthophores
  5-6,11.54,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.18,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.91,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.05,0
 24-34,0,0,0,1.28,0,0,0,2.51,0.72,0,5.48,0
 36-46,0,0,0,0,0,0,0.74,5.88,0,0,2.17,0.67
 48-58,0,0,0.52,1.06,0,0,0,1.8,0,0,2.91,0
 60-70,0,0,2.01,0,0,0,0,4.48,0,0,0.8,0
 72-82,0,0,2.02,1.06,1.39,0,0,6.56,0,0,0,0
 84-94,0,0,13.23,0,0,0,0,0,3.96,0,0,0
 96-106,0,0,22.03,0,0,0,0,1.11,0.73,1.77,0,0
108-118,0,0.71,15.53,0,0,1.41,0,8.55,0.45,0,0,0
120,0,0,4.24,0,0,0,0,14.6,0,0,0,0
