stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,10.65,0,10.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.26,0,0,0,4.57,0,0,0,0,0,0,0
 10-12,0,0,9.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.61,3.17,0,0,5.43,0,11.13,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0.86,0,0,0.84,11.95,0,0,0.84,0,0,0,2.86,4.04,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,6.34,0,0.82,0,0,0,1.23,0,0,0.88,48.63,0,0,0,0,0,0,0,31.8,0,0,0
 36-46,0,0,0,0,2.17,0,1.85,0,0,0,27.82,0,0,0,0,0,0,0,0,0.69,135.27,0,0,0,0,0,0,0,59.66,0,0,0
 48-58,0,0,0,0,0,0,31.58,2.73,0,0.71,71.96,0,0,4.69,0,0,5.95,0,0,0,358.76,0,0,0,0,0.57,0,0,136.09,0,0,8.52
 60-70,0,4.68,0,3.34,0,0,139.58,0,0,0,115.35,1.17,0,0,0,0,11.11,3.03,1.84,0,380.22,1.13,1.17,0,0,0,0,0,88.27,0,0,0
 72-82,0,0,0,1.42,0,0,104.32,0,0,0,188.35,12.49,0,0,0,0,3.38,0,0,0,334.11,0,0.53,0,0,0,0,0,88.58,0.5,0,4.42
 84-94,0,0,0,5.59,0,0,93.41,0,0.8,0,127.4,6.52,0,0,0,0,0,0,0,2.52,191.77,0,0,0,0,2.89,0,0,57.13,0,0,0
 96-106,0,0,0,1.19,3.03,0,63.8,0,0,0.93,153.58,15.54,0,0,4.79,0,1.33,0,10.96,0,182.1,0,2.77,0,0,0,0,0,63.49,0,0,7.86
108-118,0,0,0,0,0,0,94.24,0,0,0,118.74,4.71,0,0,0,0.55,1.51,0,0,0.88,290.89,0,0,0,0,0,0,0,41.66,0,0.93,0
120,0,0,0,6.88,0,3.69,106.79,0,0,0,163.71,27.3,0,0,0,0,17.34,0,0,0,261.05,0,0,0,0,0,1.13,0,27.91,0,0,0
