stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,0.84,0,0,0,0,0,0
 24-34,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,21.28,0,0,0,0,7.56,0,0,0,0,0
 36-46,0,0,0,0.57,0,1.28,0,0,0,0,0,0,0,10.49,0,0.63,0,0,0.85,52.94,0,0,0,0,9.47,0,0,0,0,0
 48-58,0,0,3.1,0,0,11.56,0,16.4,0,2.79,0,0,0,2.55,0.97,3.12,0,0.92,0,62.12,0,1.06,0,0,17.21,0,0,0,0,4.2
 60-70,0,0,4.9,0,0,24.21,0,26.51,0,0.88,0,0,1.2,7.89,2.78,1.15,0,0.7,0,221.97,0,0,0,0,31.81,0,63.54,0.68,0,0
 72-82,0.56,0,1.39,3.26,1.12,85.25,0.81,29.89,0,0,0,0,0,10.5,0.96,3.42,0,7.7,0,134.37,0,0,0,0,9.93,0,37.51,0,0,0
 84-94,0,0,0,0,11.18,58.76,0,55.61,0.71,0,0,0,0.68,38.38,7.45,7.04,0,8.7,3.28,121.52,0,0,2.69,0,7.36,0,24.44,0,3.29,3.24
 96-106,0,0,0.86,1.92,6.77,57.48,0,54.12,0.61,0,0,4.05,1.2,68.9,3.21,0.73,0.68,14.03,0,138.37,0,0,0,0,1.16,0,43.57,0.7,6.43,11.66
108-118,0.6,0,6.6,9.45,9.96,106.01,0.56,60.35,0,0,3.13,0,1.85,120.95,20.16,5.22,0,18.77,0,185.19,2.11,0.76,1.71,0,8.35,1.56,15.44,0,3.1,14.29
120,0,0,0,0,0,94.58,3.06,86.37,0,0,0,0,0,35.9,11.59,2.59,0,37.46,1.08,353.77,0,0,0,0,26.28,0,0,7.76,0,0
