stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.99,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.49,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0
 24-34,2.02,0,0,0,0,0,0,0,0,0,0,1.92,0,0.84,1.14,3.2,0,0,6.5,0,0,0,0,0.61,0.73,0,0,0,0,0,0,0
 36-46,0,0,8.58,0,0,1.81,1.15,0,0,0.72,1.62,0,0,0,0,1.56,0,0,0,0,0,0,0,2.89,0,0,3.03,0,0,0,0,0
 48-58,0,0,25.32,0,0,1.41,0.43,0,0,0,0.73,0,0,0.64,0.99,0.92,0,0,1.87,0,0,0.44,0,121.52,0.84,0,0.9,0,0,1.15,0,0
 60-70,0,0,30.03,0,0,10.96,3.94,0,0,0,5.46,1.35,0,4.55,14.27,4,0,1,0,0,0,0,0,459.38,0,0,1.39,0,0,0,0,0
 72-82,4.21,0,63.07,1.42,0,14.75,13.1,0,5.04,2.53,2.59,15.2,0,1.63,13.96,21.79,0,0.61,43.39,4.85,1.86,0.56,1.4,1548.6,0.63,0,9.98,1.21,1.35,0,1.25,0
 84-94,6.69,0,130.57,1.83,0,4.74,53.27,0,4.54,6.79,2.89,18.52,0,8.71,5.99,22.72,0,0,13.1,0,0,1.86,0,3285.76,1.11,0,0,0,2.17,2.66,0,0
 96-106,1.93,0,148.7,9.97,0,16.85,47.66,0,13.59,16.11,2.5,28.39,0,22.55,4.25,38.56,1.37,1.8,58.2,0,1.16,0,0,2520.2,0,0,5.04,0,0,2.98,8.21,3.47
108-118,4.32,0,183.53,0,2.31,13.32,58.13,3.79,5.63,14.56,1.88,51.89,1.15,19.53,14.78,39.41,1.21,1.36,34.19,0,1.61,0,0,2221.51,1.7,0.44,0,0.58,0,0,1.69,0
120,1.22,0,261.19,0,0,16.71,62.67,0,4.45,34.82,21.8,51.66,0,10.66,12.9,28.78,10.91,0,87.75,0,0,0,0,1729.79,0,0,0,9.57,3.38,0,1.8,0
