stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,239.42,2110.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,572.86,5029.93,0,20.98,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,401.75,0,0,0,307.58,0,81.92,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.24,52.74,0,51.65,0,0,3.94,0,0,0,0,49.31,0,0,0,0,0,0,0,0,0,0,0,583.05,116.26,0,0,3162.46,0,0,20.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,23.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.24,0,0,0,324.73,0,0,0,0,30.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.83,7.48,7.62,0,0,0,0,0,0,0,1.11,0,0,0,0,0,3.94,0,0,1.11,12.33,0,0,0,0,0,0.83,0,16.83,9.72,0,2.83,0,0,0,2.61,0,0
 24-34,0,0,0,4.1,2.87,7.41,2.76,0.81,0,0,0,0,0,9.9,0,0.85,0,0,0,21.33,0,0,6.16,22.92,6.31,0,0,0,0,2.94,0,0,4.83,0,0,7.62,0,0,14.41,0,0.77
 36-46,0,0,0,0.93,1.29,0,0.58,0,1.43,3.01,0,0,0.73,29.03,0,0,0,0.8,0,22.79,0,2.78,4.91,20.16,0.55,1.22,4.58,0,0,5.25,0,0,13.38,0,0,0.89,0,0,14.31,0,1.72
 48-58,0,0,0,0,0.9,0,0,0,0,4.65,0,0,2.43,20.31,0,0,0,0,0,12.43,0,1.54,1.29,19.89,1.1,3.13,0,0,0,1.85,0,0,0.59,0.4,0,2.91,0,0,18.31,0,0
 60-70,0,0,0,0,3.64,0,0.61,4.29,0,5.62,0,0,0.6,40.56,0,7.62,2.28,0,0,57.98,0,2.02,1.25,22.84,0,2.8,1.16,0,0,9.52,0,0,0.59,0,0,0.69,0,1.04,6.6,0,9.83
 72-82,0,0,0.68,0,1.41,1.07,3.76,0.6,0,2.42,2.48,0,0.86,19.31,0,0.5,0,0,0,52.12,0,1.87,9.66,14.89,0,8.63,0,0,0,1.14,1.65,0,1.62,0.77,0,1.84,2.41,0,33.93,1.49,0
 84-94,0,0,0,0,0.82,0,2.81,0,0,0.57,0.96,0,0,39.88,0,5.42,0.8,0,0,56.45,0.71,7.22,0,6.85,0,1.17,0,0,0,1.61,0,0,0.67,0,0,0,0,0,15.91,1.25,0
 96-106,0,0,1.53,0,15.21,3.46,2.63,0.66,6.97,6.63,10.71,0,0,31.75,0,0.71,0,6.49,0,101.26,0,3.18,3.54,8.17,0,5.57,0.82,0,0,15.7,2.06,0,1.32,0,0,0,0,0,12.37,2.38,0
108-118,0,0,0.57,0,12.67,0,3.23,5.71,2.92,3.73,4.13,0,0.43,54.91,0.49,2.03,1.43,1.83,0.47,56.95,0.54,2.34,0,10.83,5.25,2.85,3.62,0,4.1,15.81,0,0,1.06,0,0,0,0,0.92,9.61,0.68,11.45
120,0,0,0,0,16.11,4.16,0,3.05,0,4.65,2.51,0,0,59.49,0,1.17,0,0,0,13.37,0,11.56,2.4,5.1,0,2.92,17.16,0,26.12,21.89,0,0,0,0,0,0,0,4.12,53.33,0,0
