stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.18,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.29,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.45,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,1.13,0,0,3.45,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,1.77,166.47,0,0,0,0,0,0,0.89,0,97.12,0,0,0,0,0
 24-34,0,0,0,0,1.47,0,0,12.46,0,0,0,12.93,0,0,0,0,0,0,0,0,5.3,0,0,1671.46,1.02,1.53,0.65,0,0,0,0,0,628.56,0,0,0,0,0
 36-46,0,0,0,0,0,1.1,0,56.77,0,0.68,0.65,49.32,0,1.34,0,0,0,0,0,0,9,0,3.59,2133.56,0,8.62,0,0,0,0,0,0,784.94,0,0,0,0,0
 48-58,0,0,0.94,0,2.97,0.78,0,309.05,0.7,0,0,157.39,0,0,0,0,3.84,0,0,2.65,18.76,0,3.58,3274.14,8.76,3.05,0,0,0,0,0,0,754.78,0,0,0,0,4.11
 60-70,0,0,0,0,2.17,0,0,811.97,0,10.51,0,213.68,0,0,0,0,0,0.77,0,7.36,83.44,0.64,0,2862.84,0,3.77,0,0,0,2.88,0,0,526.95,0,1.62,2.92,0,1.66
 72-82,0,0,0.64,0,8.78,0.53,1.16,1583.12,1.52,0.5,1.71,276.49,1.13,1.32,0,0,1.33,0.95,0,1.32,37.17,1.5,1.15,5165.07,0,4.38,1.46,0,0.89,0.8,0,0,440.37,0,2.13,2.26,1.3,0
 84-94,0,0,0,0,30.36,3.32,0,944.53,0,0.63,0,165.25,0,0,0.78,0,1.33,0.69,0.83,0,40.44,3.04,0,3103.13,0,2.47,0.57,0,0,1.53,0,0,234.08,0,0,1.14,1.92,0
 96-106,0,0,0,0,12.89,11.39,3.15,901.17,0,0,2.99,186.69,0,0,0,1.23,0,4.97,0,0.56,22.61,0,0,2862.32,0,8.41,4.7,0,1.04,0.75,0,0,138.85,2.26,3.76,0,2.58,0
108-118,0,0,0,0,26.46,1.56,0.55,872.67,0,0,0,181.56,0,0.47,0,0,0,0.48,0,0,31.72,3.21,2.3,2912.64,0,4.97,0,0,0,6.81,0,0.5,149.21,1.5,0,2.84,0,0
120,0,0,0,0,31.54,0,0,475.4,5.69,0,5.01,168.87,0,0,7.64,0,0,0,5.29,0,32.33,0,0,3222.4,0,3.27,0,0,0,3.33,2.43,0,131.54,0,8.92,0,0,0
