stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.69,106.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.54,15.42,5.08,0,0,24.46,0,0,0,0,0,0,0,0,0,0,0,281.32,10.1,0,0,111.18,0,0,0,0,0,0,0,0
 10-12,0,17.18,7.2,0,0,15.95,0,0,0,0,6.57,0,0,0,0,0,0,268.37,7.14,0,0,82.62,0,8.1,0,8.66,0,0,0,0
 14-21,0,0,0,4.07,2.09,0,0,0,0,1.4,1.69,0,0,0,0,3.88,1.19,15.36,0,0,0.86,0,0,0.86,2.26,0,1.94,0.96,0,0
 24-34,0,0,0,1.16,0,1.51,0,0,0,0,0,0,0,0,0,6.29,0,43.37,0,1.31,0,0,0,1.56,0,0,0,2.96,0,1.9
 36-46,0,0,0,9.37,0,7.5,0,0,0,0,0,0,0,0.95,0,3.7,1.9,38.61,0,0,0.83,0,0,3.77,0,0,0,6.01,0,0
 48-58,0,0,0,0,0,11.32,0,0,1.75,0,0,0,0,0,0,2.61,0.6,20.72,0,0.78,0.62,0,0,0,0,0,0,5.49,0,0
 60-70,0,0,0,10.12,0,2.97,0,0.62,3.64,0.62,0,0,0,0,0,4.02,0,19.4,0,0,0,0,0,1.52,0,0,0,4.23,0,0
 72-82,0,0,0,0.51,0,6.47,0,0,1.22,0,0,0,0.69,0,0,5.96,0,18.89,0,0.49,0.8,0,0,0,0,0,0,0,0.53,0.5
 84-94,0,0,0,0,0,8.61,0,0,0,0,0,0,0,0,1.15,1.6,0,6.8,0,0,0,0,0,0,0,0,0,5.41,0,0.98
 96-106,0,0,0,0.61,0,3.19,0,1.07,0,0,0,0.59,0,0,0,4.35,1.35,3.08,0,0,0,0,0,1.23,0,0,0,0,0,0
108-118,0,0,0,0,0,2.52,0.88,0,1.06,0.6,0,0,0,0,0,3.43,1.74,11.19,0,0.42,0,0,1.33,0,0,0,0,0,0,0.8
120,0,0,0,2.66,0,0,0,0,13.04,0,0,4,0,0,0,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
