stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.87,15.47,64.55,55.85,0,258.65,0,0,0,17.04,0.82,7.81,0,0,10.3,2.06,0,50.58,7.21,57.87,0.86,0,47.13,1476.81,17.26,0.96,10.32,29.63,0,23.35,20.84,219.76,6,7.65,324.36,212.55,0,0,15.01,0,13.3
 24-34,0,1.29,1.92,42.72,3.52,0,215.14,0,1.51,0,24.76,7.76,0,7.73,7.42,30.01,1.64,4.36,131.44,10.8,142.3,4.95,0,48.21,1309.07,5.44,25.17,12.02,0,0.99,116.29,2.15,0,17.35,0.91,43.78,224.62,0,0,57.65,0,12.3
 36-46,0,0.73,0,22.98,1.22,0,167.51,10.21,0.89,0.62,38.25,3.23,0,0,2.75,39.64,4.55,2.43,40.06,17.12,87.52,0,4.86,36.61,1028.11,9.18,12.57,13.54,0,0,139.4,5.09,0,15.27,0,0,195.65,0,0,32.8,0,42.39
 48-58,0,0.46,0.4,23.9,6.35,0,229.61,8.6,10.59,0.46,50.29,2.9,14.11,0.51,16.76,4.75,8.36,4.27,77.56,20.22,106.64,3.07,10.02,37.01,914.89,15.8,11.19,4.64,0,0,24.96,1.4,0.92,5.24,3.37,0.55,233.49,0,0,25.78,0,25.81
 60-70,0,0.89,0,17.55,7.93,0,463.51,8.65,6.51,14.24,107.86,8.15,10.31,4.21,18.06,5.55,7.23,3.2,75.99,14.1,191.96,4.72,14.24,42.13,1090.48,3.37,7.97,10.57,0,1.55,87.39,2.13,0,4.61,0,0,268.85,0,7.53,16.17,1.8,39.91
 72-82,0,3.58,0.51,39.64,75.55,0,463.95,3.16,2.79,15.51,128.02,15.87,6.76,3.45,20.53,10.4,9.65,6.47,349.97,13.76,363.68,8.22,4.86,34.81,976.95,2.55,13.44,18.17,0,0,66.48,1.41,0,16.27,1.07,0,240.29,5.57,8.67,30.69,4.38,31.08
 84-94,0,10.75,0.91,76.24,100.22,0.68,483.38,2.67,18.13,10.87,144.11,31.56,6.73,4.14,53.33,25.89,22.37,3.76,894.07,23.93,339.27,14.95,26.99,76.34,763.85,8.58,8.2,24.96,0,2.02,278.24,1.4,0,36.51,0.6,0,120.95,8.82,7.84,40.62,10.23,53.02
 96-106,1.12,8.76,0,120.88,212.47,6.19,392.8,5.6,8.58,10.47,206.65,35.61,0,3.05,52.67,21.44,30.24,8.79,1250.21,23.76,445.43,25.07,21.7,62.84,907.55,4.6,20.15,24.58,0,5.47,255.04,3.11,0,25.96,0,0,91.41,2.2,9.56,64.07,19.15,72.51
108-118,0,3.39,3.73,176.68,110.94,13.69,423.14,3.84,29.46,17.29,203.21,40.96,0,3.62,53.03,30.6,61.4,8.9,2122.37,21,642.52,26.5,12.26,95.03,1153.37,8.98,8.91,32.82,0,25.54,248.07,2.96,0,32.04,4.52,0,36.94,5.14,4.77,65.58,26.81,76.45
120,0,0,0,191.21,85.51,8.02,435.28,11.48,30.93,40.3,288.29,74.6,0,1.85,77.75,27.64,20.68,1.07,1044.49,18.23,546.12,10.01,35.42,85.85,1253,19.04,4.52,17.86,0,4.76,262.86,1.53,0,20.37,1.32,0,87.75,17.17,24.64,72.3,48.5,30.02
