stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,34.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,109.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.84,0,0,0,17.55,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0,39.49,0,0,0,0,0,0,0
 14-21,0,0,0,3.13,3.41,0,3.36,0,0,0,0,0,0,0,0,0,0,20.42,0,0,0,0.96,0,0,0.87,0.81,0.92,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,1.93,0.69,0,23.35,0,0,0,0,0,0,0,0.67,1.56,0,1.82
 36-46,0,0,0,0,0,0,0.88,0,1.17,0,0.57,0,0,7.2,1.2,0,0,15.46,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,8.41,0,0.39,0,0,0,0,4.36,3.67,0,1.04,34.89,0.51,0,0,0,0.59,0,0,0,5.72,0,0
 60-70,0,0,0,5.46,0,8.61,3.34,0,0,2.75,0,0,0,11.89,0,0,0,9.78,0,0,0,0,0,0,0,0,0,0,0.79
 72-82,0,0,0,0.71,0,0,26.87,0,0,2.5,0.88,0,0,133.02,4.59,0,1.27,13.72,1.23,0,0,0,0,3.01,0,0,0,0,0.5
 84-94,0,0,0,0.67,0,0,6.31,0,0.69,5.92,0,0,0,515.67,3.44,0,0.76,23.02,0,0.71,0,0,0,0,0,0,0,0.62,1.22
 96-106,0,0,0,0,5.19,1.74,23.5,0.57,0,0,3.84,1.69,0.56,785.53,7.15,0,0,83.43,0.58,2,2.44,0,0,2.78,0,0,0,0,10.83
108-118,0,0.64,0,1.2,0.98,1.96,12.27,1.04,2.42,0,0.45,1.28,0,1237.04,12.22,0,3.3,120.03,0.68,0,0,0,0,6.23,0,0,0,0,0.84
120,0,0,0,0,0,0,0,0,0,19.43,2.28,0,0,596.58,18.45,0,0,66.19,13.49,0,0,0,0,1.07,0,0,0,0,0
