stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.22,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.96,8.51,0,0,6.2,0,0,0,0,0,0,0,0
 10-12,0,31.01,0,7.16,14.32,0,0,9.46,0,0,0,0,0,0,0,0,179.07,15.65,0,0,24.41,0,0,0,6.24,0,0,0,0
 14-21,0,2.69,8.53,5.06,119.26,0,1.19,0,2.74,0,0,0,7.22,6.76,20.29,8.62,296.75,0,0,0,0,0,0,4.19,0,6.68,54.67,0,15.09
 24-34,0,0,0,11.16,10.96,0,0,0,0.75,0,0.7,0.93,0.61,33.42,9.15,1.4,31.8,0,1.76,0,0,0,0,0,0,0.86,14.05,0,18.4
 36-46,0,0,0,5.47,0.75,0,0,0,0,0,0,3.34,0,61.85,3.77,0,6.66,3.23,0,0,0,0,0.8,0,0,0,2.39,0.76,0
 48-58,0,0,0,5.69,1.35,0.41,0,0,0,0,0,9.05,0.66,27.46,1.09,0,20.08,0,0,7.45,0,0,0,0,0,0,13.17,0,0
 60-70,0,0,6.4,1.94,1.67,0,0,0,0,0,0,13.57,0,10.98,0,0,11.98,1.12,0.84,3.85,0,2.61,0,0,0,0,2.81,0,0
 72-82,0,0,0,0,0,0.94,0,0,0,0,0.58,9.69,0,1.15,3.43,0,102.79,0,0,0,0,3.52,0,0,0,0,29.53,0,0
 84-94,0,0,0,0,2.87,2.86,0,0,0,0,0,24.54,0,0,4.71,0,59.45,0.57,0,0.66,0,10.73,3.32,0,0,0,9.45,0.66,0
 96-106,0,0,2.62,4.04,19.05,4.25,0,0,0,0.93,0,32.34,0,2.53,9.5,0,79.29,0,0,0,0,14.7,1.42,0,0,0,2.29,0,0
108-118,0,0,1.7,12.38,0,0,0,0,0,0,0,19.55,0,3.91,1.35,0,109.6,0,0,1.03,0,8.8,2.21,0,0,0,10.57,0,0
120,0,0,0,12.04,0,0,0,0,0,0,0,9.49,19.61,0,23.06,1.26,120.58,0,1.32,0,0,10.01,8.48,0,0,0,0,0,0
