stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,17.22,150.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,177.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.92,6.67,0,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.79,13.31,0,0,16.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.76,2.54,0,0.99,0,0,0,0.84,0.85,0,0,0,0,0,0,9.07,0,0,6.25,22.2,275.47,0.85,0,0,0,0,0,1.68,0.91,0,4.6,111.17,0,0,0,0
 24-34,0,0,0.89,2.1,0.83,0,2.17,0,3.17,3.34,1.06,0,9.27,0,0,0,0,0,49.9,0,0,23.92,38.98,186.33,0,0,0,0,0,0,0,1.45,0,1.38,163.79,0,0,4.52,0
 36-46,0,0,0,5.31,0,0,4.11,0,0,3.38,1.93,0.67,10.69,0,0,0,0,0,52.54,0,0.89,14.92,17.03,149.25,0,0,0,0,2.19,0,0,0,0.65,0,56.49,0,0.85,0,0
 48-58,0,0,0.83,3.54,0,0,12.73,0,10.56,13.49,10.85,0,30.8,0,0,0,0,2.96,223.68,0,5.92,15.41,31.57,115.68,0.85,0.69,0,1.49,0.56,0.65,0,0,0,0,111.03,0,2.09,8.5,0
 60-70,0,0,0,3.78,0,0,17.74,0,10.85,8.21,20.09,5.87,14.91,0,0,0,0,0,491.28,0,3.57,15.89,24.86,89.04,0,0,0,9.99,0,0,0,0.62,0,0,65.78,0,40.76,2.34,0
 72-82,0,0,0,4.05,0,0,33.75,2.31,12.66,21.54,50.6,15.29,25.53,3.64,0,0,0,0,928.48,1.09,13.61,24.96,53.08,33.62,0,2.55,0,19.06,2.11,0,0,0.49,0,0,39.25,0,65.85,2.6,8.43
 84-94,0,0,0,13.21,4.4,0,41.41,0,7.74,32.28,16.5,35.46,16.17,1.39,0.55,7.82,0,0,818.3,0,19.85,8.95,23.08,67.38,0,0,0,11.75,0,0,0,0,0,0,44.62,0,58.28,9.36,7.69
 96-106,0,0,0,11.51,1.07,1.14,32.88,1.33,1.84,25.6,33.25,7.18,24.93,3.21,2.81,0.92,3.85,0,891.41,0,18.13,14,57.99,44.77,1.44,5.89,0,28.74,1.6,0,0,0,0,0,31.53,2.26,47.99,19.74,5.86
108-118,0,0,0.61,25.13,0,0.78,40.25,0,2.28,14.78,25.19,11.47,20.2,0.42,1.93,0.51,0,0,1000.09,7.14,32.17,7.9,51.09,51.53,0,3.75,0,23.15,2.62,0,0,0,0,0,18.54,0,48.38,22.93,8.08
120,0,0,0,27.63,2.68,0,32.06,4.46,6.5,8.93,33.15,0,8.42,2.4,0,0,0,0,930.37,0,25.44,60.11,49.35,106.82,0,28.52,0,24.24,0,0,0,0,0,0,28.57,0,61.02,19.96,10.23
