stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0
  5-6,15.08,60.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.81,0,0,0,7.69,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.05,7.65,0,0,3.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76,0,0,0,0,0,0,0,0,1.76,0,0,0
 24-34,0,0,1.1,0.61,0.81,2.73,0,0,0,0,0,0,0,0,0,0.75,0,0,1.75,0,0,0,26.97,0,0,0,0,0,0,0,0,6.15,1.61,0,0
 36-46,0,0,0,0,0,5.47,0,0,0,1.91,0,0,0,0,0,0,1.07,0,3.11,0,0,0,17.51,0,0,0,0,1.24,0,0,0.74,3.78,1.05,0,0
 48-58,0,0,0,0,0,11.55,0,2.13,0,1.37,0,0.44,0,0,0.38,0,0,0.78,4.33,0,0,0.48,69.05,0,0,0,0,6.24,0,0,0,9.75,0.41,0,0
 60-70,0,0,0,0,0,36.68,1.39,0,0,6.68,0,0,0.72,0.59,0,0.66,0,0,3.64,0,0,1.99,98.86,0,1.03,0,0,5.91,0,1.58,0,4.91,0.57,0,0.97
 72-82,0,0,0,0,0,35.88,0.51,0,0,5.89,0.51,0,0,0.53,0,0,2.79,0,15.06,0,0.75,2.09,103.22,0,13.64,10.17,0,0,0,0.53,0,13.11,0,1.27,0
 84-94,0,0,0,0,6.23,33.03,0,0,0.89,7.05,1.51,0,0,0,3.03,0,0,0.56,22.16,0,0,0.67,68.19,0,0,0,0,4.89,0,0,0,3.2,0,0,0
 96-106,0,0,1.11,0,0,20.11,0,0,0,7.35,0.64,0,1.57,0.91,0,3.46,0,0,11.71,0,1.9,2.04,84.89,0,6.2,0,0,0.72,0,0,0,3.82,0,1,0
108-118,0,0,0,3.02,0,30.62,0,0.6,0.5,10.34,1.24,0,1.48,0.91,1.52,0,0.59,4.19,8.88,0,0,0,106.83,0,3.13,0,0,0.9,0.41,0,0,3.44,2.29,0,0
120,0,0,0,0,1.09,43.93,0,2.23,0,6.58,0,0,4.87,0,0,1.34,0,0,2.28,1.49,0,0,245.74,0,3.57,1.05,0,0,0,0,0,14.99,0,0,0
