stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.49,179.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.71,531.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,7.71,32.38,0,0,0,0,0,0,0,0,0,0,0
  7-9,37.55,41.08,0,17.18,0,0,0,182.92,0,0,0,0,0,41.57,0,0,0,0,0,0,0,0,0,0,0,664,62.34,0,0,188.32,19.94,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,36.85,0,97.35,0,0,0,79.57,0,0,0,0,0,44.63,0,0,0,0,0,0,0,0,0,0,0,630.2,117.91,0,0,180.92,9.22,0,0,24.69,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,2.64,18.99,29.25,0,15.02,0,0,0,7.65,0.99,6.87,0,0,2.11,0,0,0,0,17.77,0,0,13.52,220.95,2.97,0,5.15,8.54,2.05,1.44,30.11,9.27,4.51,18.04,106.79,0,0,0,0,0
 24-34,0,0,1.3,0,3.26,11.5,0,17.31,0,0.78,0,8.38,0.69,0.74,0,0,0.61,0,0,2.71,0,9.38,0,0,3.87,439.19,0,4.34,2.01,0,0,0,0,5.18,0,2.62,174.16,0,0,5.76,0,0
 36-46,0,0,0,0,0.62,13.43,0,113.97,0,0,1.17,12.14,0,0,1.77,10.59,0,0,0,0,0,8.54,0,0,0.65,886.01,0,11.88,0,0,6.14,0,0,6.41,0,0,278.44,0,0,1,0,3.36
 48-58,0,0,0,0,2.41,23.77,0,239.89,1.02,0,1.64,51.07,0,0,0.4,0,0,0,0.41,4.67,0.5,26.77,0.7,0,1.51,1030.72,0,3.34,1.96,0,1.88,0,0,10.86,0,0,288.66,0,0,1.02,0,5.9
 60-70,0,0,1.32,0,0,41.36,0,654.02,0,0,6.14,29.64,1.21,0,1.71,0,1.02,0,0,5.85,0,24.62,0,1.19,1.84,1208.49,0,1.02,0,0,0,0,0,4.56,0,0,267.32,0,0,3.93,0,0
 72-82,0,0,1.04,0,6.16,111.9,0,689.67,0,0,1.25,43.71,1.58,0,3.56,0.99,0,0.76,2.13,21.23,0,40.2,0.57,0.92,5.57,1044.9,0,2,1.4,0,0,0,0,5.26,0,0,182.65,0,1.61,3.76,0.56,0
 84-94,0,0,0.73,0,11.04,124.35,0,544.33,0,0,2.56,35.52,11.13,0,0,5.05,0,0,1.32,61.47,0,33.23,0,4.69,5.87,772.17,0,10.77,9.39,0,8.62,0,0,13.19,0,0,108.29,5.35,0,6.77,2,0
 96-106,0,0,0.81,0,14.91,117.41,0,651.07,0,0,3.01,43.45,2.62,0,2.32,5.6,0.74,0,2.55,44.99,0.67,66.38,0,3.13,5.71,854.91,0.62,9.79,6.68,0,8.5,0,0,17.7,0,0,69.64,0,2.13,5.15,3.75,0
108-118,0,0,0,0,16.22,69.23,0.5,534.07,0.58,1.25,3.37,37.66,6.32,0,2.42,7.55,0.65,6.68,1.98,70.27,0,43.26,0,0,3.48,852.92,0,6.2,3.49,0,2.39,0,0,5.31,0.51,0,45.93,0.44,0,13.56,1.51,0
120,0,0,1.73,0,12.72,70.07,0,339.69,0,0,0,45.48,9.41,0,0,1.47,0,0,0,38.55,0,25.12,1.59,0,4.81,849.18,2.58,3.15,0,0,0,0,0,4.87,0,0,25.18,1.81,0,0,0,0
