stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,6.8,17.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.09,0,0,0,0,0,0,0,0
 14-21,0,0,0,19.46,0,0,0,0,0,0,0,0,0,0,2.94,0,0,8.4,0,0,3.35,1.11,0,3.19,0,0,0
 24-34,0,0,0,0.83,0,0,2.44,0,0,0,0,0,1.3,0,0.75,0,0,102.02,0,0,0.74,0,0,16.2,0,0,0
 36-46,0,0,0,0.96,0,0,1.37,0,0.99,0,0,0,0,0,1.67,0,0,205.23,0,0,0,0,0,15.19,0,0,0
 48-58,0,0,0,0,0,0,18.55,0,1.9,0,0,0.88,0,0,3.73,0.53,0,276.84,0,0,0.53,0,0,13.54,0,0,1.69
 60-70,0,0,0,2.05,0,0,78.32,0,2.19,0,0,7.63,0,0,0.98,0,0,889.03,0,0.84,0,0,0,12.69,0,0,0
 72-82,0,0,0,4.05,0.58,0,164.12,0,5.39,1.68,4.77,19.58,0,0.6,10.21,0,2.82,1287.02,0,0.71,0.7,0,0,46.67,0,0,2.53
 84-94,0,0,0,3.65,0,0,149.28,4.74,3.27,0.98,0,50.44,0,0,15.88,2.23,5.03,978.35,0,1.68,0.9,0,0,24.75,0,0,3.53
 96-106,0,0,0,5.22,0,0,184.45,0.61,10.65,1.02,1.04,55.07,0,0,5.59,0,0,821,0,2.75,1.92,0,0,13.44,0,0,11.92
108-118,0,0,0.89,5.19,0.61,0,126.7,0.52,10.46,0.52,0,158.97,0,4.91,7.93,0,0,1212.48,0,5.32,6.54,0,0.48,21.39,0.68,1.77,4.44
120,0,0,0,14.43,0,1.89,155.7,14.64,24.5,0,0,120.34,0,0,8.96,0,0,1347.97,0,0,0,0,1.55,15.42,0,3.52,1.16
