stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,151.11,520.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.35,0,0,0,0,0,0,0,0,0,0,0
  5-6,74.19,2486.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.15,19.11,0,0,7.71,0,31.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,38.76,640.61,347.98,0,0,27.65,0,0,0,0,0,13.03,0,0,0,0,0,0,0,0,0,0,11987.24,290.5,0,0,3000.84,0,6.59,4.85,0,0,0,0,0,0,0,0,0,0
 10-12,0,165.67,354.13,0,19.77,28.53,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,6151.07,119.2,0,0,883.61,0,0,0,0,13.82,0,0,3.51,0,0,0,0,0
 14-21,0,0,28.89,252.91,11.01,7.8,0,0,0,11.24,2.58,0,1.63,0,4.88,0,0,2.29,143.75,0,0,92.88,3695.41,1.74,0,61.96,12.68,0,4.41,0,10.32,3.25,5.74,18.64,1431.39,0,0,1.06,0,0
 24-34,0,0,3.35,19.28,1.17,25,0,0,0.79,19.22,0,0,0,0,0,0,0,0.9,53.48,0,0,15.64,5539.17,0,1.39,7.51,0,0,11.68,0,0,1.48,0,9.07,1326.02,0,0,8.53,0,0
 36-46,0,0,0,4.77,0,43.64,0,0,2.07,99.26,0,0,0,0,0.63,0,0,0,14.39,0,0,4.86,5881.53,1.98,1.92,2.91,0,0,18.62,0,0,0,0,0,1263.61,0,0,1.13,0,3.66
 48-58,0,0,0,13.65,0.41,123.26,0,0.57,1.65,406.74,0,0,0,0.47,0,0,2.36,5.26,19.27,0,2.52,12.33,5150.69,2.86,3.23,1.13,0,0,2.37,0,0,0.73,0,0,817.97,0,0,5.21,0,2
 60-70,0,0,0,3.74,0,77.82,0,0,1.24,469.72,0,0,5.05,0,0,3.43,0,2.25,19.52,0,1.56,1.06,3260.01,0,0.73,0.62,0,1.9,5.23,0,0,0,0,0,266.48,0,1.5,17.86,0,6.99
 72-82,0,0,0,5.24,10.93,138.38,0,7.4,0,711.64,0,0,0,0.64,0,0.72,0,0,52.41,0,1.98,3.91,1945.76,0,1.2,0,0,0.71,0.88,0,0,0,0,0,97.96,3.98,0,0.66,0.72,14.99
 84-94,0,0,0,5.28,0,104.91,0.66,0,3.62,441.08,0,0.76,2.41,2.21,0,1.78,1.05,0,32.3,0,0,4.26,1214.01,0,0,0,0,0,2.86,0,0,0,0,0,57.59,0,0,1.75,0,9.24
 96-106,0,0,0,4.63,7.51,57.36,1.72,9.05,0.62,415.02,1.18,0,0.97,2.85,0,0.81,0,0,35.58,0,0,0,547.79,0,1.81,0,0,0,4.95,0,0,0,0,0,34.82,5.61,1.26,0,0,0
108-118,0,0,0,8.76,1.73,45.78,0,0,0,494.64,0.63,0,0,0,0,0,0.84,0,35.4,1.22,0,5.17,1224.11,0,0,0.72,0,0,2.09,0,0,0,0,0,32.34,0.72,3.3,0,0,0
120,0,0,0,16.47,6.85,42.24,0,1.01,0,405.44,0,0,0,0,0,0,0,0,75.18,0,0,0,1301.76,0,0,0,0,0,1.77,0,0,0,0,0,42.63,0,0,0,0,0
