stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,0,88.31,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,14.27,0,19.82,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.66,88.15,0,0,474.63,0,0,0,5.78,0,12.12,0,0,0,0,0,0
 14-21,0,0,1.08,23.11,8.69,15.3,0,15.48,0,2.26,0,0,0,0,0,0,0,0,162.98,0,135.9,140.18,121.6,1.23,0,11.19,0,0,201.59,0.87,1.93,173.41,44.99,0,0,0,0,0
 24-34,0,0,0,7.38,1.58,14.17,0,41.32,3.14,1.94,0,6.76,0,1.01,0,2.24,3.36,5.92,319.4,0,153.81,225.84,11.61,2.09,1.49,0,0,0.65,0,0.93,1.52,24.09,77.51,0,0,1.33,0,0.69
 36-46,0,0,0,10.71,4.25,26.44,0,19.25,12,3.9,0.8,5.56,3.49,0,0,0,0.87,0.91,448.31,3.72,73.24,211.32,4.21,0,2.82,0,2.1,0,0,0,1.61,0,30.46,0,2.48,0,0,0
 48-58,0,0,0,14.1,0,29.65,0,15.07,46.52,7.82,0,1.36,0,0,0,0,0,5.17,403.11,1.24,56.37,151.66,1.11,0,0.76,0,0,2.32,0,1.12,3.16,0,30.31,0,1.52,0.39,0,0
 60-70,0,0.82,1.02,8.39,1.5,179.59,0,14.97,103.8,10.24,0,0.92,0,0,1.29,0.72,0,0,383.25,17.23,26.79,189.12,0,0,6.59,0.81,4.34,0,0,0,0,0,26.27,0,2.7,0,0,0
 72-82,0,0,0,6.35,0,413.25,3.29,18.33,100.88,5.68,0,0,0,0,0,5.93,1.36,1.31,442.21,18.89,28.41,191.88,2.44,0,10.07,0,5.69,0.59,0,2.98,1.5,0,19.4,0,1.93,0.65,4.37,7.98
 84-94,0,0,0,17.49,0,239.08,2.71,19.49,76.63,11.41,0,3.49,0,0,0,0,0,0,385.15,38.64,30.88,168.92,0.58,0,5.39,0,0,11.08,0,7.75,3.86,0,13.07,0.61,4.88,0,4.53,0
 96-106,0,0,0,32.78,0,334.58,9.09,105.62,157.44,18.63,0.56,4.28,0,1.97,1.04,4.83,0,0.56,452.36,16.03,15.49,218.56,3.65,0,20.3,0,10.2,6.17,0,1.33,10.92,0,9.43,0.67,2.1,0,5.34,0
108-118,0,0.41,0,14.87,3.78,307.49,20.73,69.83,212.07,12.44,0.67,2.46,3.44,3.47,0,2.31,0,0,427.03,26.04,46.15,214.82,3.73,0,24.32,0,7.95,3.28,0,6.28,18.17,0,2.72,0.91,3.91,0,9.11,7.29
120,0,0,1.28,25.32,0,170.67,5.24,67.65,85.27,6.92,0,6.27,0,1.05,0,0,2.7,1.55,327.37,21.04,33.22,208.53,0,2,20.15,0,3.42,16.18,0,0,12.24,0,16.37,1.63,0,0,29.62,0
