stage,epidermis,eye,neural,otic
  7-9,0,4.92,0,0
 36-46,0,1.3,0,0
 48-58,0,0,0.39,1.22
 60-70,0,0.69,0,0.63
 84-94,0,0,1.23,0
 96-106,0.94,0,0,2.64
108-118,0,0,0,6.05
