stage,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,mural_cell,neural,olfactory,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,5.14,0,0,0
 14-21,0,1.43,0,0,0,0,0,0,0,0,0,0
 24-34,2.18,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,15.77,0,1.65,0
 48-58,0,1.6,0,0,0,0,0,0,6.02,0,0.96,0
 60-70,0,0,0,0,0,0,0,0,8.1,0.98,0,0
 72-82,0,0,0,0.73,0,0,1.37,0,14.82,0.53,0,0
 84-94,1.73,0,1.01,0,1.31,1.2,0,0,17.44,0,0,0.69
 96-106,0,1.67,0,0,0,0,0,0.93,10.69,7.21,0,0
108-118,0,1.78,0,0,1.1,0,1.06,0,6.13,2.81,0,0
120,0,0,0,14.47,0,0,2.45,0,7.31,0,0,0
