stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0.86,1.1,2.67,0,0,0,0,1.46,0,0,1.35,0,0,0,1.16,0,0,1.58,49.81,1.42,0,0,0,1.17,0,0.93,12.32,0,0,0,0
 24-34,0,0,2.18,0.66,11.02,0,0,0.76,2.24,0,0,0,0,0,0,0.65,6.22,0.61,0,1.78,104.34,1,1.63,3.16,0.81,0,0,0,23.37,0,8.01,0,0.76
 36-46,1.35,0,3.2,0,28.43,0,0,0.64,6.37,0,0.75,0,0,0,0,0,11.19,0,0,2.6,98.82,0,0,1.82,0.65,0,0,0,16.86,0,5.03,0,0
 48-58,0,0,5,0,17.66,0.58,8.01,3.77,10.35,0,0,0,3.14,0,0,0,11.13,0,0.43,2.52,98.54,0,0,2.29,4.3,0,0,0,17.65,0,4.2,0,0
 60-70,0,0,1.05,0,68.04,0,0,0.85,21.13,0,0,3.36,0,1.39,0,6.77,13.66,0,0,1.98,105.81,0,0.89,2.71,3.02,0,0,0,17.21,2.56,2.51,0,0
 72-82,0.62,3.31,0,0,32.81,0,0,0,1.91,1.01,0,0,0,0,0.97,0,19.21,0.93,0.76,0,63.14,0,1.28,1.86,4.11,0,0,0,4.19,0,1.54,0,0
 84-94,0,0,2.76,0,23.33,0,0,0,6.03,0.71,0,0.86,0,0,1.5,6.41,17.62,0,4.02,0,47.79,0.67,0,1.5,4.95,0,0.74,0,0,1.38,0,2.06,0
 96-106,0,0,0,4.57,12.77,0,0,0,3.23,0,0,0,0,1.11,0,0,3.67,0,0.62,1.44,4.21,0,0,0.85,0,0,0,0,5.87,0,0,0,0
108-118,0.55,0,4.63,0,14.26,0,0,0.77,9.68,1.97,0,2.2,0,2.32,0,0,3.93,0,3.6,0.97,45.41,0,0,1.1,0,0,0,0,0,0,0,0,0
120,0,0,10.55,0,19.4,0,0,0,16.85,0,0,0,0,0,6.54,0,17.87,12.14,0,5.96,178.42,0,0,7.32,0,0,0,0,33.38,0,0,0,6.41
