stage,eye,glial,gut,lateral_line,mesenchyme,muscle,neural,olfactory,pronephros,spinal_cord
 14-21,0,1.13,0,0,0,0,0,0,1.01,0.83
 24-34,0.6,0.6,0,0,0,0,0.88,0,0,2.36
 36-46,0.73,1,0,0.61,1.6,1.17,0,0,0,0.78
 48-58,0,0,0,0,0,0,2.75,0,0,3.63
 60-70,0,0,0,0,0,0,0.76,1.56,0,0
 72-82,1.04,0,0,0,1.68,0,1.33,0,0,0
 96-106,0,0,0,0,1.5,0,1.72,0,0,0
108-118,3.38,0,0,0,0,0,2.75,0,0,0
120,0,0,1.38,0,0,0,7.73,0,0,0
