stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.56,617.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,84.83,1245.41,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,60.68,0,0,0,17.79,29.97,0,0,0,0,0,0,0,0,0,0
  7-9,16.43,0,0,56.24,0,0,39.76,0,0,0,0,0,43.37,0,0,0,0,0,0,0,0,0,0,0,539.03,17.97,0,0,168.32,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,16.81,0,35.26,0,0,44.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.13,6.97,0,0,180.96,0,17.33,0,34.26,5.3,0,0,0,0,0,0
 14-21,0,0,0,0.98,17.23,0.99,4.37,0,0,0,1.17,1.28,0,0,0,0,0,0,0,0,5.07,0,0,11.8,99.42,0,0,0,0.82,3.42,1.44,9.12,0,8.4,34.34,0,0,1.83,0,0
 24-34,0,0,0,0.84,6.1,1.21,18.04,0,0,0,3.54,2.67,0,3.69,0,1.21,0,0,3.58,1.37,8.26,0.63,0.82,6.07,183.17,2.19,2.47,1.35,0,12.3,0,0,1,3.03,29.9,0,0,3.92,0,0
 36-46,0,0,0,0,2.52,0,21.44,3.38,0,0,2.99,0,0,0,0.81,0,0,0,0,0,16.23,0,0,0.88,216.1,0,2.12,0.57,0,13.5,0,0,0.58,0,38.45,0,0,5.94,0,0
 48-58,0,0,0,0,1.12,0,45.59,0,1.77,0.67,16.89,0,0,0.48,3.37,0,0,0,0,0,28.23,0,3.65,1.5,163.51,0,0.42,2.08,0,2.31,0,0,0,0,37.86,0,0,1.3,0,3.42
 60-70,0,0,0,0,3.61,0,72.82,0,0.87,2.01,6.46,1.58,0,0,0,2.48,0,4.64,0,0,34.54,0,3.25,4.01,192.67,0,0,0,0,4.8,0,0,1.82,0,33.86,0,0,0,0,0
 72-82,0,0,0,0,3.28,2.55,67.17,1.6,0,1.93,20.08,0,0,0.86,0,0,0,0,0,0,42.18,2.43,0,1.16,155.04,0,2.71,0,0,7.1,0,0,0,0,28.51,1.03,0.52,3.84,1.02,0
 84-94,0,0,0,0,5.82,4.6,52.08,0,0,3.93,27.88,1.46,0,0,2.62,0.56,1.87,0,0,0,18.86,0,0,1.81,145.19,0,0,5.57,0,21.18,0,0,0,0,15,1.72,0,4.12,4.14,4.29
 96-106,0,0,0,0,17.52,14.34,36.47,1.55,8.96,0,10.02,3.37,0,0,3.47,0,1.5,0,0,0,27.06,0,0.62,1.37,69.56,0,1.84,0.63,0,10.45,0,0,0,0,13.59,0,2.05,6.18,2.35,0
108-118,0,0,1.03,0.74,5.41,3.15,62.18,0.43,3.07,1.39,18.56,0,0,0,1.67,0.65,0,0.51,0,0.97,59.69,2.46,5.22,1.95,124.64,0,0.53,0.78,0,17.09,0,0,0,0,0.94,0.83,0,8.91,2.98,1.37
120,0,0,0,0,8.96,0,51.43,0,10.09,3.22,13.73,16.04,0,0,0,0,3.73,0,0,0,50.2,0,0,16.76,255.6,0,2.49,7.26,0,10.87,0,0,0,0,14.84,1.84,0,8.7,2.66,0
