stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,neural,periderm,vasculature,xanthophores
  3-4,0,36.46,0,0,0,0,0,0,0,0,13.35,0,0
  5-6,8.36,20.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.15,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.41,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.38,0,0,0
 24-34,0,0,0,1.15,1.09,0,0,0,0,0,0,0,1.97
 36-46,0,0,0,0,0,0,0,0.59,0.59,0.94,0,0,0
 48-58,0,0,0,0,0,0,0.56,1.69,0,0,0,0,1.42
 60-70,0,0,0,0,0.63,0,0,5.98,0,0.56,0,0,0
 72-82,0,0,0,3.83,0,0,0,0.49,0,1.22,0,0.56,0
 84-94,0,0,0,0,0,0,1.44,1,0,0,0,0,0
 96-106,0,0,0,0,0.62,0,0,4.07,0,0.79,0,0,0
108-118,0,0,0.69,0.79,0,1.83,0,2.82,2.62,2.34,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.35,0,0
