stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,18.51,12.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,9.28,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78,0,0,0,17.48,0,0,0,9.29,0,0,0
 14-21,0,0,0,0,10.73,0.99,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0.92,0,0,0,16.59,0,0.89,3.94,0,0,0.91,4.04,39.03,0,0,0
 24-34,0,0,0.6,2.07,5.38,0,0,0.64,0,0,15.52,0,0,0,1.01,0,2.14,0,0,0,1.75,0,1.5,54.91,0,19.48,5.61,0,0,0,11.49,42.01,0,0,0
 36-46,0,0,0,0,1.61,0,0,1.22,0,0,11.19,0,0,1.2,0,0,3.95,0,0,0,3.05,0,0,98.98,0,16.1,10.57,0,0,0,2.14,22.84,0,0,0
 48-58,0,0,0,0,2.77,0,0,4.59,0,0,24.77,0,0.37,0,0,0.4,0,0,0,2.83,0.37,0,0,65.95,4.09,17.79,16.3,0,0,0.65,0.95,33.71,0,0,0
 60-70,0,0,0,0,0,0,0,16.5,0,0,32.07,0,0,0,0,1.2,1.86,0,9.64,16.39,1.49,0,0,55.48,1.69,18.19,6.47,0,0,0,1.12,28.95,0,0,0
 72-82,0,0,0.64,0,0.71,0,0,6.22,0,1.23,17.75,0.56,0,0,0,0,6.74,0,0,14.06,0.58,0,0,59.69,0.5,34.81,18.08,0,0.72,0,1.15,11.95,0,0,0
 84-94,0,0,0.66,0,2.71,0,0,11.1,0,0,19.9,2.05,4.6,0,0,3.36,3.51,0.6,0,8.24,6.12,1.04,0,62.59,0,23.43,18.01,0,0.66,0,1.74,2.09,0.66,0,0
 96-106,0,0,0,0,1.98,0,0,9.97,0,0.84,26.85,9.9,0,0,0,21.89,7.98,0.77,0,8.24,1.8,0,0,63.35,0.91,25.41,13.85,0,1.25,0,0,8.8,1.39,0,1.31
108-118,0,0,0.97,0,3.12,0,2.42,6.35,0.46,0,19.39,1.48,0,0,0.48,8.99,4.47,1.37,0,18.02,6.85,0,0,45.42,0,50.82,18.2,0,0,0,0.64,2.65,2.58,3.47,1.93
120,0,0,0,0,1.43,0,0,3.46,0,0,22.09,0,0,0,0,15.53,12.63,0,0,0,0,0,0,97.76,0,63.76,33,0,0,0,5.04,9.68,10.17,0,0
