stage,blastomeres,epidermis,erythrocytes,glial,immune,mesenchyme,neural,olfactory,paraxial_mesoderm,vasculature,visceral_smooth_muscle
  5-6,9.03,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.15,0,0
 24-34,0,0,0,0,0.88,0,0,0,0,0,0
 36-46,0,0,0,0,16.71,0,0.56,0.9,0,0,0
 48-58,0,0,0,0.7,6.08,0.47,2.24,0,0,0,0
 60-70,0,0,0,0,4.63,0,0,0,0,0,0
 72-82,0,0,0,0,10.4,0,0,0,0,0.5,0
 84-94,0,0,0,0,36.58,0,0,0,0,0.57,0.77
 96-106,0,0,0,0,31.47,0,3.75,0,0,0,0
108-118,0,1.05,0,0,40.03,1.24,0.54,0,0,0.51,0
120,0,1.1,1.97,0,32.13,0,0,0,0,1.41,0
