stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,86.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0
  5-6,6.15,175.79,0,0,0,0,0,0,0,0,0,0,0,0,21.67,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,11.97,0,0,0,0,0,0,0,0,0,103.67,0,22.65,0,0,0,0,0,0,0
 10-12,0,15.11,0,0,4.85,0,0,0,0,0,0,0,0,0,93.23,0,28.13,0,0,8.35,0,0,0,0
 14-21,0,0,8.52,0,2.14,0,0,0,1.61,0,0,0,0,0,14.44,0,0.94,0,4.46,0,0,1.64,0.87,0
 24-34,0,0,1.78,0,1.87,0,0,0,0,1.94,0.95,1.36,0,0,22.36,0,0,0,0,0,0.66,2.19,3.87,2.88
 36-46,0,0,0,0,0,3.85,0,0,1.02,0,0,0,0,5.22,6.95,0,0,0,0,0,0,0,0.85,0.85
 48-58,0,0,0.48,0,0.42,1.2,0,0,5.24,0,0,0.39,0,0,14.81,0,0,0,0,0,1.65,0,2.38,0
 60-70,0,0,4.54,0,2.58,0,0,0,2.94,0,0,0,1.84,0.68,8.86,0,0,0,0,0,0,0,1.23,0
 72-82,0,0,0,0,0,0,1.48,0,2.53,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.97,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.38,0,1.08,1.92,0,0,3.43,0,0,12.04,0.62,0,0.66,0,0,0.6,0,0,0
108-118,0,0,0,1.2,0,0,0,0,0,0,0,2.66,0,0,9.74,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,1.21,0,0,0
