stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.4,1555.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.39,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.53,792.13,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.48,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.22,0,0,28.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.5,0,0,0,36.51,0,0,5.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.04,0,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.76,16.03,0,0,26.78,0,4.52,0,0,0,0,7.48,0,0,0,0,0,0
 14-21,0,0,1.13,0,39.21,0,6.3,0,2.61,0,2.15,1.96,0,3.85,5.2,0,0,0,0.89,8.03,0,0,3.59,51.94,3.54,0,3.02,0,0,40.02,4.6,4.96,4.35,1.32,3.41,19.01,0,0,0,0,0.96
 24-34,0,0,0.6,0,13.42,0.69,13.93,0,1.57,0,7.14,0.67,4.26,15.51,20.42,1.59,1.38,0,17.58,18.23,3.4,0,9.15,82.19,0.64,9.46,0,0,0,155.02,0,0,0.93,1.04,1.33,13.38,0,0,32.33,0,9.73
 36-46,0,0,0,0,8.39,0,10.04,3.82,0,0,7.67,0,0,15.66,4.71,0,0.57,0,13.03,24.88,0,0,5.86,69.84,0,16.85,2.47,0,0,222.58,1.49,0,1.33,0,0,8.99,0,0,9.87,0,48.09
 48-58,0,0,0,0,13.6,0,33.14,0,2.48,3.11,19.07,0.89,0.95,45.47,3.39,1.89,2.83,1.86,14.87,18.31,7.82,1.36,3.4,34.23,7.72,7.55,0.44,0,0,110.4,0,0,0.56,0,0,19.92,0,0,3.93,0,27.9
 60-70,0,0,0,0,14.57,0,101.92,0.66,8.87,0.79,79.86,2.75,0,28.73,5.82,0.89,0,1.2,1.32,31.47,0.57,0.95,5.42,38.86,0,17.89,0,0,2.07,112.59,0,0,0,0,0,10.05,2.53,0.73,1.49,0,53.76
 72-82,0,0,0.88,0,26.25,6.1,43.75,0,3.74,1.23,98.05,18.13,0,41.18,9.59,10.18,2.32,3.1,2.12,57.18,2.15,2.75,2.87,36.27,1.94,24.2,2.67,0,0,47.54,0,0,0.53,0,0,15.76,7.86,3.81,11.04,5.35,22.84
 84-94,0,0,0,0,39.9,1.65,60.39,0,6.32,2.74,67.37,28.47,2.35,53.76,12.56,5.39,3.92,1.75,13.44,44.18,1.05,5.06,7.6,25.28,0,25.26,4.97,0,0,156.26,0,0,0.73,0,0,9.14,16.39,3.14,4.82,0,43.24
 96-106,0,0,0.63,0,54.54,7.6,63.33,0,9.88,5.13,97.56,21.44,4.8,75.34,21.05,5.36,8.28,7.35,0.67,68.94,3.09,6.12,7.34,62.37,3.67,29.06,6.5,0,2.8,112.85,0,0,0,0,0,2.82,2.46,3.56,23.24,8.24,19.69
108-118,0,0,2.64,0.61,108.32,1.66,56.9,0,22.51,0.47,109.61,25.12,3.02,65.6,6.5,9.9,0.97,4.97,2.55,103,4.61,9.78,8.87,63.04,4.19,22.02,2.16,0,0.86,101.53,0,0,0.62,0,0,2.23,12.94,0,15.54,2.72,42.92
120,0,0,0,3.17,69.25,0,35.8,1.26,13.55,6.99,99.26,52.28,11.77,88.7,1.25,0,6.27,17.01,0,71.42,6.97,25.39,4.44,50.46,2.06,25.08,3.9,0,4.59,55.45,1.53,0,2.23,0,0,4.07,11.46,2.41,23.22,0,15.13
