stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,47.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.63,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.95,0,0,0,7.79,0,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,87.64,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0
 10-12,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.11,0,0,0,18.93,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.7,0.97,0,12.83,0,0,0,5.49,1.11,3.48,0,0,0,0,0,0,6.13,0,0,6.12,102.06,0,2.55,0.99,1.79,0.81,14.08,0.86,5.25,27.54,28.97,0,0,0,0
 24-34,0,0.65,0,6.99,0,0,24.7,0,0,0.79,1.99,0,0,0,0,0.72,0,1.12,1.34,10.95,0,0,2.51,144.17,0,7.36,3.99,0,15.43,0,0,0,14.58,47.36,0,0,0.85,0
 36-46,0,0,0,2.73,0,0,40.09,1.1,0,1.55,8.72,0,0,0,0,0.68,0,0,1.14,12.72,0,0.92,2.59,114,0,13.67,7.41,0,14.2,0,0,0,1.18,48.17,0,0,0,0
 48-58,0,0,0,6.35,0,0,54.08,0.81,0,0,3.15,1.26,0,0.45,0,0.4,0,0,0,3.61,0,0,0.41,88.73,0,6.25,0,0,9.41,0,0,1.95,0,13.69,0,0,0,0
 60-70,0,0,0,7.58,0,0,52.76,3.25,3.31,2.26,15.88,8.56,0,0,0,4.18,0,0,2.19,27.2,0,0,1.91,71.23,5.11,4.35,2.06,0,18.27,0,5.52,0.62,0,7.92,0,0,0,0
 72-82,0,0,0,7.98,0.51,0,31.31,0,0,1.93,8.66,2.8,0.5,1.02,0,0,0.64,1.15,0,12.98,1.01,0.96,2.14,59.67,0,24.81,0.82,0,10.05,0,0,0,0,12.93,0,0.5,0,0.76
 84-94,0,0,0,5.89,0.76,0.58,16.59,0,0,0,3.15,3.09,0.76,0,0,0.56,0,0,1.26,14.58,0,0,2.65,23.18,0,8.9,2.07,0,36.17,0,0,0,0,8.3,0,0,0,0
 96-106,0,2.57,0,8.51,5.81,0,38.23,0,0,3.62,4.84,6.17,0,0,0.78,0.82,0,0,0.72,20.8,4.61,0,6.91,51.25,2.6,32.98,4.25,0,42.46,0,0.73,0,0,5.18,0,0,1.75,0
108-118,0,1.63,0,2.34,0,0,40.77,0,0.78,1.97,10.13,6.32,0,0,0.48,2.62,0,3.63,2.2,18.21,0,0,7.32,34.7,2.18,10.5,6.3,0,28.04,0,0,0,0,9.25,1.22,0,5.15,0
120,0,0,0,9.72,1.27,0,4,0,2.35,0,4.44,4.81,0,0,0,1.07,0,0,9.76,13.77,0,0,10.85,111.12,0,13.58,1.76,0,29.38,0,0,0,0,1.57,0,1.46,1.46,0
