stage,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,3.73,14.62,2.64,0,0,0.95,1.28,0,0,0,0,0,0,0,0,3.36,0,0,0.97,0,0,10.33,0,7.69,6.22,0,0
 24-34,0,9.27,3.95,1.89,0,0,0,0,0,0,18.45,4.03,0,0,0,22.05,1.47,0.75,0,0,0.99,0,0,1.1,2.26,0,1.51
 36-46,0,1.77,8.25,0.71,1.21,0,0,0,0,0,7.45,5.06,0,1.14,0,22.19,0,0,0,0,0,0,0,0,12.31,0,0
 48-58,0,11.3,4.01,0,0,0,0,0.39,0,0,1.08,3.39,0,0,0,26.9,0,7.43,0,0,0,0,0,0,8.83,0,0
 60-70,0,10.18,45,0.67,0,1.2,0,0,0,0,3.39,0,1.46,0,0,23.31,1.19,0,0,0,0,0,0.62,0,1.09,0,0
 72-82,0,2.36,34.29,0,1.88,0,0.51,0,0,0,2.86,5.68,0,0,0.75,28.81,0.74,0.61,0,2.81,2.99,0,0,0,1.68,0,4.2
 84-94,0,1.76,21.65,1.02,0,0,0,0,0.97,0,17.62,20.38,0,0,0,14.6,0,1.2,0,2.48,1.74,0,0,0,6.14,1.28,0
 96-106,0,0.85,24.13,0,0,0,0,0,0.66,0,7.49,2.94,0,0,0,15,0,0.77,0,1.17,1.01,0,0,0,0,0,0.78
108-118,0,7.13,12.47,0.52,2.49,2.9,0,0,0,2.35,4.22,4.49,0,0,0,23.36,0,0.49,0,0,1.32,0,0,0,3.24,0,0
120,0,3.21,11.25,0,0,7.69,0,5.85,0,0,3.58,6.9,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0
