stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,0,11.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.3,0,0,0
  5-6,6.88,38.57,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,62.76,0,0,0
  7-9,0,0,0,3.74,0,0,8.34,0,0,0,0,0,0,0,0,43.17,0,0,0,10.99,0,5.15,0,0
 10-12,0,6.05,0,5.07,0,0,7.27,0,0,0,0,0,0,0,0,124.87,0,0,0,12.7,0,0,0,0
 14-21,0,0,0,0,3.82,1.65,1.02,0,0,0,0,0,2.31,0,0.9,5.49,0.86,1.08,0,0,7.12,0,1.14,1.87
 24-34,0,0,0,0,0,0,0.69,0,0,0,0,0,3.36,0,0.65,7.51,0,0,1.29,0,2.37,0,1.98,4.33
 36-46,0,0,0,0,0,0,1.37,0,2.14,0,1,0,0,0,0,14.57,0,0.81,0,0,0,0,5.24,1.28
 48-58,0,0,0,0,0,0,0.7,0,0,0,0,0,2.63,0,0.4,2.99,0,0,12.34,0,0.4,0,0.77,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.31,0.9,0,0,0.81,0,0,0,0,3.35,0,0,0.58
 72-82,0,0,0,0,0,0,0,0,0,0,11.83,0,3.81,0,0.54,1.36,0,0,0.89,0,1.85,0,0,0
 84-94,0,0,0,0,0,0,0,0.94,0,0,0,0,4.12,0,0,0,0,0.81,1.27,0,5.15,0,0,0
 96-106,0,0,1.06,0,5.86,14.24,0,0,0,0,0,0,3.41,0,1.14,9.97,0,0,0,0,6.66,0,0,2.55
108-118,0,0,0,0.49,0,0,1.52,0,0.68,0,0,0,2.71,0.75,0,18.94,0,0,1.06,0,5.86,0,0,0
120,0,0,0,0,2.37,0,2.8,0,0,0,0,0,0,0,0,4.55,0,0,0,0,9.05,0,0,0
