stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,120.99,1883.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0
  5-6,157.72,3571.06,9.08,0,0,0,0,0,0,0,0,0,0,0,132,8.9,0,0,8.83,40.37,0,0,0,0,0
  7-9,66.83,169.45,70.13,0,0,899.34,0,0,174.54,0,0,0,0,0,4831.32,74.99,0,0,1224.12,3.26,0,0,0,0,0
 10-12,0,186.94,122.99,0,0,603.72,0,0,113.82,0,3.73,0,0,0,5647.95,139.32,0,0,1829.04,0,16.55,263.63,22.67,14.29,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0,0.82,0,1.17,1.72,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,8.49,0,0,1.12,0,0,0,0,0.67,6.24,0
 36-46,0,0,0,0,0,5.33,0.68,0,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,0,1.9,0
 48-58,0,0,0,0,0,10.91,1.33,0,0,0,0,0.47,0,0,5.23,0,0.78,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.71,1.64,0,0,0,0,1.6,0,0,5.75,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.1,0,0,0,0,0,0.68,0,2.27,5.21,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.94,0,1.5,0,0,0,0.98,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,5.88,0,0,0,0,0,0.94,2.75,0,1.34,0,0.61,0,0,3.21,0,0,0,0,0.64
108-118,0,0,0,0,0,3.76,0.94,1.4,0,0,0,2.58,0,0,1.74,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.95,2.38,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
