stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.53,253.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.04,0,0,0,0,0,0,0,0,0,0
  5-6,0,88.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.71,0,0,0,15.04,0,0,0,10.31,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,30.15,0,1.02,0,0,0,0,0.9,0.94,0,0,18.61,0,0,0,0,0
 24-34,0,0,0,0.73,3.65,0,0,9.94,0,0,0,1.41,0,0,6.08,0,0,0,0,5.98,0.8,12.38,0,0,4.73,177.86,3.23,0.78,0.69,0,0,2.46,0,0,0,1.37,37.13,0,0,5.87,0,2
 36-46,0,0,1.35,0,4.4,0,0,20.54,0,0,0,6.68,0,0,0.93,0.57,0,0,0,0,7.33,9.98,1.19,1.66,8.47,299.51,0,3.37,8.84,0,0,0.87,0,2.28,8.42,0,61.3,0,0,2.74,0,0
 48-58,0,0,0.53,0,2.5,0.38,0,61.99,1.86,0,0.81,19.54,0,1.24,0.88,0,0,0,0,0,0.48,21.09,0.95,0,1.58,409.24,0,1.3,2.62,0,0,3.34,0,0.56,0,0,108.46,0,0.42,8.86,0,0
 60-70,0,0,0,0,3.89,0,0,143.3,0.83,0,0.72,17.27,0,0,0,0,12.72,0,0,0,0,33.02,0,0,0.68,438.81,0,0.92,2.03,0,2.46,11.71,0,0,0,0,62.64,0,1.27,1.64,0,10.02
 72-82,0,0,1.57,0,8.63,10.49,1.86,148.84,0,0.62,0,26.02,0.7,0.5,0.68,1.54,0,0,0,0,0,80.88,1.06,3.29,0.75,460.22,0,1.81,10.77,0,1.53,1.05,0,0,0,0,42.32,0,5.94,3.51,0.77,4.56
 84-94,0,0,0,0,13.72,22.92,0.59,67.11,0.79,0,1.18,23.56,0,0,1.78,7.16,0,2.41,0,1.61,0,75.09,2.77,1.94,2.5,262.43,0,2.14,5.97,0,6.05,15.22,0,0,0,0,44.88,0,1.67,10.48,0,0
 96-106,0,0,0,0,0.8,20.1,1.17,121.09,0,0,1.65,30.45,2.36,0,0,3.04,0.74,0.74,1.79,0,0.57,47.21,9.87,2.63,2.13,241.51,0,2.88,3.64,0,1.44,9.99,0,0,0,0,22.04,0.88,0,10.05,1.1,1.83
108-118,0,0,0,0,5.98,13.56,16.47,112.58,0,0,0.65,36.06,4.23,0,0,2.16,0.72,0,0,0,0,44.56,3.49,1.83,0,295.86,1.98,0,8.73,0,2.37,11.78,0,1.88,0,0,14.47,0,0,6.52,1.65,0
120,0,0,0,0,16.88,22.48,2.42,81.24,0,11.64,3.94,19.57,6.67,0,0,10.77,0,0,0,0,0,57.19,0,0,1.68,575.29,0,0,10.63,0,0,5.94,0,0,0,0,18.29,0,0,0,0,0
