stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,4.11,4.32,3.67,11.51,0,0,6.9,1.21,0.95,1.1,0,0,0,0,0,14.87,0,0,9.48,116.67,0,1.55,1.92,0.99,12.66,9.9,1.01,9.49,38.05,0,0,0
 24-34,0,9.75,2.14,55.53,0,0,3.3,0,0,0,0.62,0,0,0,0,20.41,0,0,6.47,491.99,0,2.69,2.84,0,2.78,0,0.93,0,65.01,0,0,6.38
 36-46,0,5.93,4.42,99.04,1.12,0,11.72,0,8.79,0,0,0,0,0,0,20.26,0,0,2.78,493.18,0.66,0,0,0,1.85,0,0,0,52.63,0,0,1.34
 48-58,0,9.03,2.08,205.15,0,0,19.26,0.43,0,0,0,11.1,0,0.39,0,33.1,1.67,2.26,10.76,496.82,0,0.44,4.37,0,2.63,0,0.51,0,67,0,0,5.17
 60-70,0,21.77,0,167.87,3.9,0.63,8.96,2.44,0,0,0,0,0,2.4,1.45,32.8,0,13.56,3.23,306.45,0,0,0,0,2.18,0,0,0,34.63,0,0.61,0.89
 72-82,0,11.24,0,75.64,0,0,25.84,1.62,0,2.55,0,0.93,0,0.61,0,33.95,0,1.82,1.73,99.37,0,0,3.26,0,0,0,0,0,12.66,0,0,0.72
 84-94,0,2.62,0,47.77,0.6,2.76,22.42,0,0,0,0,0,0,0,1.61,11.89,0,4.34,4.26,86,3.35,0,0,0,0,0,0,0,0.95,1.17,0,0
 96-106,0,0,0,27.71,0,0,23.65,0,0,0,0,0,0,0,0,4.63,0,0,0,66.51,0,0.57,0,0,0,0,0,0,0.78,0,0,1.22
108-118,0,4.09,0.71,54.7,0,0,16.98,0,0,0,1.09,0,0,0.72,0,6.9,0,0,2.42,61.72,0,0,0.65,0,1.86,0,0,0,3.9,0,0,2.95
120,0,3.98,0,61.59,0,0,65.51,0,0,0,0,0,11.11,0,0,12.74,0,0,3.07,131.68,0,0,0,0,0,0,0,0,0,0,0,0
