stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,54.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,93.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.74,6.39,0,0,4.53,0,0,0,0,0,0,162.71,23.35,0,68.98,0,0,0
 10-12,0,17.21,6.41,0,9.66,0,0,0,0,0,0,33.98,0,0,0,0,5.09,0
 14-21,0,0,0,4.82,0,0,0,0,0,0,0,7.38,0,0,0,0,0.97,0
 24-34,0,0,0,0.73,0,0,0,0,0,2.37,0,3.82,0,0,0,0.95,1.49,0
 36-46,0,0,0,0,0,0,1.24,0,0,0,0,7.59,0,0,0,0,0,0
 48-58,0,0,0,0.51,0.57,0,1.51,0,0,0.51,0,19.42,0,0.37,0,0,0.68,1.56
 60-70,0,0,0,0,0,0,0,0,0,0,5.79,5.04,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.09,0,0,0.98,0.64,0,0,0.88,0,0,3.38,0
 84-94,0,0,0,1.02,0,0,0.63,0,0,0.78,0,0,0,0.64,0,0,0,0
 96-106,0,0,0,0,3.68,0,6.03,0.59,0,0,0,0,0,0.61,0,0,0,0
108-118,0,0,0,1.26,0,0.8,6.09,0.68,0,0,0,3.22,0,1.26,0,0,0,0
120,0,0,0,1.72,0,0,16.92,0,1.54,0,0,2.05,0,2.33,0,0,0,0
