stage,blastomeres,eye,glial,heart,immune,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,37,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.76,0,0,0,0,0,0,14.95,0,0,7.14,0,0
  7-9,0,0,0,0,0,0,0,11.11,0,4.49,0,4.81,0
 10-12,0,0,0,0,0,0,0,8.07,0,6.71,0,4.37,0
 14-21,0,0,0,0,0,0,0,3.4,0,0,0,0,0
 24-34,0,0,0,1.47,0,0,1.92,5.93,0,0,0,0,2.77
 36-46,0,1.22,0,0,0,0.59,0,29.32,0.8,0,0,0,0
 48-58,0,1.05,1.33,0,0,0,0.64,17.8,0,0,0,0,3.29
 60-70,0,5.34,0,0.79,0,0,0,30.49,0,0,0,0,0.68
 72-82,0,2.3,0,4.33,0,0,0,26.72,0,0,0,0,7.77
 84-94,0,0,0.73,0,0,0,0,46.1,0,0,0,0,0
 96-106,0,1.42,1.92,0,0,0.97,0,46.22,0,0,0,0,0
108-118,0,0,0,0,0,1.82,0,24.42,0,0,0,0,0
120,0,0,0,0,1.44,0,0,34.51,0,0,0,0,0
