stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,taste
  5-6,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.11,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0
 24-34,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,1.04,0
 36-46,0,0,0,7.38,0,0,0,0,0,0,0,0,0.8,0,8.66,0
 48-58,0,0,0,34,0,0,0.71,0,0,1,0,0,9.47,0,1.67,0
 60-70,0,0,0,162.03,0,0,0,0,0,0,0,0,9.86,0.67,2.3,0
 72-82,0,0,0,226.24,0,0,0,0,5.64,1.59,0,0,5.97,0,0,0
 84-94,0,0,0.81,279.19,0,0.79,0,0,0,1.06,1.03,0,0,0,0,0
 96-106,0,0,0.97,265.76,1.32,0,0,0,0,3.1,0,0,12.42,0.66,0,0
108-118,0,0,0,254.58,0,3.59,0,1.19,0,3.29,0,0.51,3.6,0,0,0
120,0,0,0,302.68,0,6.33,0,0,0,0,0,0,1.51,0,0,2.24
