stage,epidermis,eye,glial,immune,lateral_line,mesenchyme,neural,olfactory,otic,spinal_cord
 14-21,1.83,4.24,1.34,0,0.92,0,48.38,0,1.83,3.39
 24-34,3.98,4.37,0,0,0.7,0,92.97,0.77,3.36,23.17
 36-46,0,9.46,5.84,0,0,0,103.22,0,0,47.61
 48-58,0,8.9,3.21,0,1.05,6.04,63.95,2.14,0,19.32
 60-70,0,19.23,10.46,0,2.2,1.15,58.19,0,0,20.32
 72-82,2.37,1.25,6.95,0,0,0,21.62,0,1.09,0.7
 84-94,0,2.5,4.17,0,1.61,0.59,47.26,0,0.74,11.28
 96-106,0,0,4.63,0,0.63,0,8.78,4.33,0,0
108-118,0,5.08,5.63,0.45,0,0,14.48,0,0,3.29
120,0,1.24,16.6,0,0,2.65,12.57,0,0,0
