stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,xanthophores
  3-4,53.12,406.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.08,271.94,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,53.44,0,3.56,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.43,0,5.5,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.54,0,0,0,0,0,0,0,0,0.83,0,0.87,2.09,0,0,0,0,0,0,1.93,1.78,0,0
 24-34,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,1.33,0,0,0
 36-46,0,0,0,0,6.01,0,0,0,0,0,0,7.5,0.59,0,0,2.52,0,0,0,0,1.02,0,0,0,0,0
 48-58,0,0,0,0,12.79,0,0,13.01,0,0,0,30.06,13.84,0,0,2.02,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.27,62.56,0,0,0,0,0,0,33.42,0,0,0,4.31,0,0,0,0,0,0,0,1.09,0,0
 72-82,0,0,0,0.52,26.44,0,0.52,1.43,0,0,2.64,43.73,2.21,0,0.57,4.13,0,0,0,1.88,0,0,0,0,0,2.63
 84-94,0,0,0,0.67,53.06,0,0,0,0,0,0,29.15,5.02,0,1.89,0.87,0,0,4.76,0,0,0.79,0,0,0,6.08
 96-106,0,0,0,0.64,63.15,0,0,0,0,1.1,0,39.11,1.03,0.66,0,3.4,0,0,0,0,0,0,0,0,0,8.13
108-118,0,0,0,0.76,79.39,0.68,0,0,1.18,0,0,50.1,1.16,0,2.08,3.18,0.74,0,0,0.51,0,0,0,5.53,4.36,0.45
120,0,0,0,2.69,58.83,0,0,0,0,0,0,22.22,6.54,0,1.82,0,0,0,0,0,1.86,0,0,0,4.5,4.37
