stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.74,0,0,0,14.11,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.61,0,0,0,6.76,0,0,0,16.42,0,0,0,0,0,0,0,0
 14-21,0,1.09,1.93,48.53,17.81,0,21.48,0,0,0,71,4.02,0,0,0,4.72,0,0,0,0,26.56,0,0,19.89,228.04,11.96,5.48,33.53,14.38,0,6.74,14.54,59.89,2.98,30.95,292.94,0,0,1.97,0,0
 24-34,0,0,0.6,11.15,0,0,35.79,0,4.09,1.77,78.8,0.92,0,3.96,0,0,0,1.28,0,0,64.01,0,2.43,20.69,434.28,2.67,29.33,18.04,0,0,17.8,1.02,24.49,0,7.48,242.58,0,0,8.27,0,0
 36-46,0,0,0,6.08,0,0,54.36,0,10.54,2.21,51.63,0,0,2.05,0,0,0.61,0.77,0,0,35.77,0,1.66,12.85,352.05,0,21.6,4.38,0,0,20.37,0,29.79,0,0,127.89,0,0,9.33,0,0
 48-58,0,0,0,22.19,0,0,133.45,0,7.84,2.88,65.27,3.41,1.19,2.04,3.44,4.73,0,1.59,0,0.56,81.2,2.26,1.66,5.34,267.36,10.23,24.08,12.04,0,0,17.1,0,10.52,0,0,90.23,0,0.42,6.89,0,1.32
 60-70,0,0,0,25.18,0,0,201.57,0.78,0,23.7,86.6,0,0,0,0,0,0,8.02,1.33,2.31,61.97,0,9.29,5.12,277.24,0,28.07,16.06,0,0,28.68,0,18.88,0,0,74.05,0,0,0,0,0
 72-82,0,2.16,0,13.75,0.54,0,124.64,0.5,6.7,7.14,70.87,3.02,0,0.86,1.71,2.4,0,11.77,0,1.81,94.05,0,1.3,6.8,155.71,0,58.09,32.5,0,0,14.56,0,3.64,0,0,53.13,6.38,2.29,7.71,1.05,0
 84-94,0,0,0,7.3,5.9,0,116.28,0.56,2.92,1.1,31.83,2.1,3.88,0,0,1.36,0,4.46,0,8.03,90.16,1.34,0.6,0.6,78.18,0,35.4,21.06,0,0,16.9,0,6.07,0,0,34.17,0,2.17,3.74,2.91,0
 96-106,0,1.05,0,4.58,15.17,0.77,45.87,0,1.46,4.54,21.1,0,0,1.3,0.65,0,0.6,6.37,18.97,0,46.14,2.03,2.92,0,55.08,0,40.04,12.42,0,0,12.88,0,2.42,0,0,28.21,0,12.91,11.73,1.35,7.03
108-118,0,1.56,0.74,20.84,0,2.96,65.79,0,1.66,2.01,42.05,1.59,0,1.02,1.64,0.67,5.96,6.71,0.48,4.53,77.03,0,1.08,2.01,105.09,0.49,34,38.88,0,3.72,19.52,0,1.35,0,0,12.43,0.71,6.37,3.53,2.6,0.75
120,0,0,0,9.76,0,0,52.31,0,1.03,0,65.57,8.16,0,0,1.18,1.28,0,16.28,3.16,1.79,55.82,0,0,8.92,143.87,0,114.21,39.64,0,0,5.67,0,21.58,0,0,38.22,0,0,4.27,21.9,0
