stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,11.51,340.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,191.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.81,14.47,0,0,0,0,9.92,0,0,0,0,0,0,0,0
  7-9,9.38,0,0,13.24,0,0,0,19.96,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0,167.6,0,0,0,85.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.16,0,26.83,0,0,0,23.6,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,454.96,14.84,0,0,205.02,0,0,0,26.45,0,0,0,0,0,0
 14-21,0,0,0,0,34.99,4.86,0,4.8,0,0,0,4,3.14,0,0,0.82,0,0,0,14.5,0,0,8.11,91.34,2.02,0,2.28,3.19,0,0,37.65,4.39,0,9.83,42.65,0,0,1.05
 24-34,0,0,0,0.67,11.38,0,0,7.98,0,0.73,0,3.13,2.04,0,0,0,0,0,0.7,15.26,0,0,2.65,54.23,0,2.54,0,0,0,2.9,0,1.79,1.55,1.83,10.2,0,0,2.83
 36-46,0,0,0,0,10.33,0,0,12.31,1.93,0,0.62,1.4,0,0,0,0,0,0,0,5.2,0,1.32,3.79,44.24,0,4.36,1.18,0,0,3.58,0,0,0,0,8.65,0,0,1.76
 48-58,0,0,0,0,19.75,0,0,36.37,0,1.07,0,6.43,0.76,0,0.44,0,3.96,6.76,0,10.92,0,0.44,3.39,44.04,0,3.72,6.8,0,0,6.83,0,6.74,0,0,6.6,0,0,0.56
 60-70,0,0,0,0,16.35,0,0,46.41,0,0,0,5.57,1.24,0,0,0,0,5.74,0,6.41,0,0.7,0,29.97,0,3.15,0,0,0.71,0.97,0,1.42,0,0,1.17,0,0,0
 72-82,0,0,0,0,5.23,0,0,13.87,0,3.6,0.5,4.86,3.35,0,0,0.75,0,0,0,5.21,0.92,0.72,1.44,7.83,0,2.41,2.06,0,0.89,0,0,0,0,0,1.05,0,0,2.43
 84-94,0,0,2.38,0,13.73,0.81,0,8.24,0,0,0,0,1.51,0,0,1.8,0,10.18,0,3.6,0,0,0.69,5.41,0,0.56,0.81,0,0,1.49,0,0.67,0,0,0,0,1.47,3.11
 96-106,0,0,0,0,2.58,1.07,0,8.72,0,1.79,0,0,1.28,0,0,0,0.65,0,0,7.2,0,0.8,1.9,19,0,0.74,3.48,0,0,1.96,0,1.39,0,0,0,0,0,0
108-118,0,0,1.5,0,6.88,0,0.46,1.2,0,0,0.56,0.76,1.03,0,1.35,0.93,1.51,0,0,4.03,0,5.12,1.05,13.45,0,1.6,2.33,0,0,0.65,0,1.41,0,0,0,1.28,0,0.48
120,0,0,0,0,6.61,0,0,10.89,0,0,0,0,1.08,0,0,0,0,1.99,0,8.28,0,0,0,12.27,0,0,0,0,0,2.76,0,0,0,0,0,0,0,1.09
