stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,periderm,taste,visceral_smooth_muscle
  5-6,29.63,0,0,0,0,0,0,0,0,0,0,0,0,12.64,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0
 14-21,0,0,0,0,0,0,0,1.18,0,0,0,0,0,1.15,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.24,7.72,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,14.22,4.23,0,0
 48-58,0,0,0,0,0,0,0,0.96,0,0,0,0,8.85,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,36.34,12.49,0,0
 72-82,0,0,0,0,0,0,0.52,1.16,0.91,2.2,2.38,0,15.97,2.26,0.82,0
 84-94,0,0,0.68,0,0,0,0,3.81,0.81,0,0,0,28.19,9.78,0,0
 96-106,0,0,3.75,0,1.42,3.21,4.04,5.12,2.41,0,5.14,0,13.16,46.89,1.67,1.67
108-118,0,0.74,5.88,0.69,0,0.43,1.31,8.45,0,0,5.81,0,18.31,25.52,0,0
120,0,0,2.71,0,0,0,1.79,1.28,3.78,0,0,4.24,6.96,45.31,0,0
