stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,101.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.14,0,0,0,3.04,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.66,1.05,0,0,0,0,0,0,0,0,0
 24-34,0,2.14,0,0,0,0,0.67,0,0,0,0,0,5.2,0,0,0.77,0,0.82,6.32,0,0,4.08
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,5.65,4.78,0,0,0,0.63,4.04,0,0,6.33
 48-58,0,0,0.37,0.46,1.06,0,0,0,0,0,0.44,0,9.58,0,1.25,0,0,0,0.87,0,0,0
 60-70,0,0,1.92,0.8,0.7,0,0,0,0,1.76,0,0,1.8,0,0,0,0,0,7.2,0,0,2.38
 72-82,0,0,0,0.73,3.95,2.17,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,5.31,0,0,0.76,0,0,0,0,0,0,0,2.03,0,3.68,0,0,1.48,0.84
 96-106,0,0,5.64,0,5.98,0,0.76,0,0,2.71,0,0,1.93,0,0,0,0,0,0,0,0,0
108-118,0,1.94,0,0.63,2.03,0,0,0,7.69,1.09,0,0,0,0,0,0,0,0,0.47,0.69,0,0
120,0,0,0,0,0,13.14,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
