stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,19.45,76.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,50.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0,0,15.48,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.81,0,0,0,0,0,0,0,0,0,62.63,6.06,0,0,6.51,0,0,0,0,0,0,0,0
 10-12,0,19.81,0,0,0,0,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.31,0,0,0,6.53,0,0,8.21,0,0,0,0,0
 14-21,0,0,0,3.54,12.68,0.95,0,0,0,0,0,0,0,3.84,0,0,2.95,2.26,0,0,2.3,10.38,0,0,0,0,37.39,2.94,0,0,5.01,0,0,1.18
 24-34,0,0,0,2.09,3.7,0,2.06,0.9,0,0.9,0,0,0,1.34,0,0.78,0.68,0,5.5,0,0,54.1,0,0.69,7.07,0,76.4,0,0,0,3.18,0,0,0
 36-46,0,0,0,0,1.34,0,0.78,0,0,0.86,0,0,0,16.15,0,1.16,0,0.66,1.26,0,0,119.4,0,0.58,4.86,0,86.7,0,2.03,0,4.2,0,0,1.43
 48-58,0,0,0,0,7.16,0,10.67,0.39,0,0.86,0,7.73,0,0.51,0,0.8,0.37,1,0.88,0.42,0,51.14,0,2.48,1.92,0,62.51,0,1.65,0.77,1.09,0,0,0
 60-70,0,0,0,0,11.37,0,4.81,5.27,0,2.55,4.35,1.21,0,0.58,0,1.55,0,0.61,3.18,0,0,38.47,0,2.11,13.07,0,79.61,0,0,0,1.82,0,0,0
 72-82,0,0,0.57,0,10.6,0,0,0,0,2.35,3.29,0,0,2.79,0,4.64,0,2.31,0.71,0,0.96,34.54,0,1.44,3.61,0,57.52,0,0,0,0,1.56,0,1.12
 84-94,0,0,0.73,0,18.97,0,0,0.63,0,0,8.82,0.99,0.57,5.35,0,2.33,0,0,2.05,0,0,8.77,0,17.35,7.01,0,181.94,0,0,0,0,5,0,0
 96-106,0,0,1.56,0,9.74,2.16,2.58,3.24,0,3.16,18.5,0,0,1.29,0.76,12.4,0.62,0,3.39,0,0,15.62,0,3.61,5.05,0,176.88,0,0,0,3.56,8.98,0.72,0
108-118,0,0,0,0,22.05,1.37,6.52,3.93,0.84,0,41.51,0,0,5.45,0,13.6,0,1.54,12.79,0,0,19.47,0,2.15,12.07,0,119.25,0,0.94,0,0,6.67,0,0
120,0,0,0,0,24.15,0,0,7.3,0,14.08,22.44,0,0,5.68,0,1.07,0,9.37,14.71,0,0,6.2,0,4.31,0,0,66.95,0,1.86,0,0,0,0,0
