stage,eye,glial,gut,hatching_gland,iridophores,liver,mesenchyme,neural,paraxial_mesoderm,pronephros
 10-12,10.14,0,0,7.5,0,0,0,0,4.37,0
 24-34,0,0,0,0,0,0,0.84,1.5,0,0
 48-58,0,0.92,0.67,0,0,0,0.52,0.38,0,0
 72-82,0,0,0,0,0,0,0,1.95,0,0
 84-94,0,0,0,0,0,5.5,0,0,0,1.47
 96-106,0,0,0.64,0,1.04,0,0,1.36,0,0
108-118,0,0,0,0,0,0,1.4,0,0,1.92
120,0,0,0,0,0,0,0,0,0,3.12
