stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,1.19,0,0,0,0,0,0,0,0.88,0,0,23.6,0,0,0,0,0,0,2.76,6.69,0,0,1.01,0,0
 24-34,3.43,0,0,0,0.62,0,0,2.33,0,0,0,0,0.7,0,1.29,104.28,0,2.03,0,0,0,0,0,50.04,0,0,0,0,0
 36-46,1.03,0,0,0,26.97,0.64,0,3.84,0,0,0,0,0.91,0,0,270.43,0,0,0,0,0,0,0,90.37,0,0,0,0,0
 48-58,0,0,0,0,215.04,0.56,0,13.9,0,0,0.4,0,1.53,0,0,453.35,0,0.88,0.82,0,0.39,0,0,136.44,0,0,0,0,2.63
 60-70,0,1.15,0,0,688.61,0.83,0,31.74,0,0,0,0,6.66,0,1.31,663.23,2.95,0,0,0,5.32,0,0,176.33,0,0,0,0,9.83
 72-82,0.93,4.22,4.13,0,874.1,0.58,0,30.38,0.56,0.75,0,0,15.85,0,0,704.69,0,0,0,2.36,2.11,0,0,138.85,2.31,0,7.96,0.67,0
 84-94,6.01,9.77,0,0,494.8,0,0,15.18,0,0,0,0,20.27,0,2,484.82,0,0,0,0,0,0,0,61.77,0,0,0,2.23,0
 96-106,0,0.86,0,0,633.24,0,0,23.61,0,0,0,0.98,4.55,0,0,552.04,0,2.14,0,3,0.96,0.58,0,37.25,1.13,1.93,1.25,0.64,9.96
108-118,0,0.87,2.72,0.59,410.46,0,2.41,34.27,0,0,0,0,4.41,0,0,525.36,0,1.19,0,1.95,2.17,0,0,19.71,0.89,0,0,0,5.75
120,1.43,0,2.17,0,390.15,0,0,14.12,7.39,0,0,0,18.68,1.15,0,692.25,0,0,0,0,1.44,0,0,65.97,0,2.2,0,0,0
