stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,26.9,112.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0
  5-6,37.05,106.53,0,0,0,0,0,0,0,0,0,0,0,72.51,14.47,0,39.89,0,0,0,0,0,0,0
  7-9,23.07,0,20.32,0,0,4.07,0,0,8.68,0,0,0,0,17.84,9.28,0,116.84,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,21.73,5.94,0,92.46,0,0,0,0,0,0,0
 14-21,0,0,0,3.62,1.82,0,0,0,0,0,1.87,0.89,4.05,6.87,1.36,0,0.85,3,131.66,1.28,3.11,22.58,3.77,0
 24-34,0,0,0,2.45,0.79,0,0,0,0,0,0,0,0,22.96,0,0,0,1.02,0,0,0,0.62,1.02,0
 36-46,0,0,0,0,0,1.63,0,0.77,0,0,0,0.84,0,1.71,0,0.63,0,0,0,0,0,0,0.62,0
 48-58,0,0,0,0,0,1.14,0,0,0,0,0,1.1,0,11.18,0,0,0,0,0,0,0,0,0,0.45
 60-70,0,0,0,0,0,8.75,0,0.85,0,0,0,0,0,10.81,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.77,0,4.42,0,0,0,0,0,0,0,2.06,0,0,0,0.82,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.13,0,0,3.28,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,5.99,0,1.1,0,0,0,0.94,0,0,0,0,0,1.37,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0.56,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.08,0,0,0,0,0,0,0,17.45,0,0,0,0,0,0,0,0,0,0
